facility_name,permit_id,lat,lon,latlong_type,facility_type,program
KAHE GENERATING STATION (1),HI0000019,21.353333,-158.132722,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.353333,-158.1325,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358056,-158.126389,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358056,-158.126944,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.357778,-158.126944,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358333,-158.128333,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358333,-158.129167,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358333,-158.129167,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358333,-158.129722,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.354167,-158.13,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358333,-158.128889,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.358333,-158.125833,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.35425,-158.130778,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.35425,-158.130778,Permitted Feature,Privately Owned Facility,NPDES
KAHE GENERATING STATION (1),HI0000019,21.35425,-158.130778,Permitted Feature,Privately Owned Facility,NPDES
HONOLULU GENERATING STATION,HI0000027,21.305722,-157.864111,Facility,Privately Owned Facility,NPDES
UNKNOWN,HI0000035,21.318826,-157.870278,Facility,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.896806,-156.462889,Facility,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.897417,-156.463725,Permitted Feature,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.897445,-156.463586,Permitted Feature,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.897417,-156.463447,Permitted Feature,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.89739,-156.463253,Permitted Feature,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.916667,-156.465278,Permitted Feature,Privately Owned Facility,NPDES
KAHULUI GENERATING STATION,HI0000094,20.916667,156.465278,Permitted Feature,Privately Owned Facility,NPDES
GAY & ROBINSON SUGAR PLANTATN,HI0000116,21.910972,-159.628222,Facility,Privately Owned Facility,NPDES
PEPEEKEO MILL POWER PLANT,HI0000191,19.844464,-155.089444,Facility,Privately Owned Facility,NPDES
SHIPMAN GENERATING STATION,HI0000264,19.723693,-155.06930500000001,Facility,NA,NPDES
WAIMANALO DAIRY,HI0000311,21.331275,-157.708368,Facility,Privately Owned Facility,NPDES
UNKNOWN,HI0000345,21.315895,-157.888665,Facility,Municipality,NPDES
PORT ALLEN GENERATING STATION,HI0000353,21.898833,-159.58625,Permitted Feature,Privately Owned Facility,NPDES
HAWAIIAN CEMENT  - HALAWA QUARRY,HI0000558,21.373972,-157.909167,Facility,Privately Owned Facility,NPDES
HAWAIIAN CEMENT  - HALAWA QUARRY,HI0000558,21.376611,-157.908,Permitted Feature,Privately Owned Facility,NPDES
HAWAIIAN CEMENT  - HALAWA QUARRY,HI0000558,21.375,-157.899444,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.962778,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.3875,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.390833,-157.963333,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.390556,-157.963333,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.390556,-157.963611,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.390556,-157.963889,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.390278,-157.964167,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.39,-157.964167,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.39,-157.964167,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.389444,-157.963889,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.388889,-157.963056,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.388056,-157.962778,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.962222,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.961389,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387222,-157.960556,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387778,-157.961389,Permitted Feature,Privately Owned Facility,NPDES
