facility_name,permit_id,lat,lon,latlong_type,facility_type,program
HECO WAIAU GENERATING STATION,HI0000604,21.389722,-157.964167,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.388889,-157.963889,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.3875,-157.962778,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.389167,-157.963889,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387611,-157.960278,Permitted Feature,Privately Owned Facility,NPDES
HECO WAIAU GENERATING STATION,HI0000604,21.387611,-157.960528,Permitted Feature,Privately Owned Facility,NPDES
US NAVY PEARL CITY FUEL ANNEX,HI0000647,21.384613,-157.974477,Facility,Federal Facility (U.S. Government),NPDES
UNKNOWN,HI0000663,21.310725,-157.872257,Facility,Privately Owned Facility,NPDES
UNKNOWN,HI0020036,21.360719,-157.765589,Facility,Municipal or Water District,NPDES
UNKNOWN,HI0020061,21.36589,-157.76878,Facility,Municipal or Water District,NPDES
C&CH WAIANAE WWTP,HI0020109,21.434222,-158.182222,Facility,Municipal or Water District,NPDES
C&CH SAND ISLAND WWTP,HI0020117,21.3045,-157.882056,Permitted Feature,Municipal or Water District,NPDES
C&CH SAND ISLAND WWTP,HI0020117,21.493611,-158.042778,Permitted Feature,Municipal or Water District,NPDES
UNKNOWN,HI0020176,19.740581,-155.0525,Facility,Municipal or Water District,NPDES
UNKNOWN,HI0020231,19.713905,-155.075009,Facility,Privately Owned Facility,NPDES
COUNTY OF KAUAI WAILUA WWTP,HI0020257,22.039463,-159.333525,Permitted Feature,Municipal or Water District,NPDES
COUNTY OF KAUAI WAILUA WWTP,HI0020257,22.041667,-157.336111,Permitted Feature,Municipal or Water District,NPDES
UNKNOWN,HI0020265,21.898812,-159.587209,Facility,Municipal or Water District,NPDES
EAST HONOLULU WASTEWATER TREATMENT PLANT,HI0020303,21.287333,-157.671833,Facility,Privately Owned Facility,NPDES
EAST HONOLULU WASTEWATER TREATMENT PLANT,HI0020303,21.288194,-157.67225,Permitted Feature,Privately Owned Facility,NPDES
EAST HONOLULU WASTEWATER TREATMENT PLANT,HI0020303,21.289278,-157.673,Permitted Feature,Privately Owned Facility,NPDES
YACHT HARBOR TOWERS AOUO,HI0020346,21.293611,-157.846667,Permitted Feature,Privately Owned Facility,NPDES
UNKNOWN,HI0020389,19.782802,-155.095556,Facility,Privately Owned Facility,NPDES
WAIKIKI AQUARIUM,HI0020630,21.26575,-157.821528,Facility,State Government,NPDES
WAIKIKI AQUARIUM,HI0020630,21.265528,-157.822639,Permitted Feature,State Government,NPDES
CAMPBELL INDUSTRIAL PARK,HI0020656,21.305174,-158.097255,Facility,Privately Owned Facility,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC",HI0020753,21.319278,-157.883528,Facility,Municipality,NPDES
KULAIMANO WASTEWATER TREATMENT PLANT,HI0020770,19.836667,-155.086389,Permitted Feature,County Government,NPDES
AMERON HAWAII KAPAA QUARRY,HI0020796,21.390056,-157.775889,Permitted Feature,Privately Owned Facility,NPDES
AMERON HAWAII KAPAA QUARRY,HI0020796,21.389917,-157.776028,Permitted Feature,Privately Owned Facility,NPDES
HALFWAY BRIDGE ROCK QUARRY AND CRUSHER,HI0020842,21.966944,-159.465222,Facility,NA,NPDES
UNKNOWN,HI0020885,20.738302,-156.449167,Facility,Municipal or Water District,NPDES
KAUNAKAKAI TERMINAL,HI0020966,21.088889000000002,-157.025278,Facility,Privately Owned Facility,NPDES
UNKNOWN,HI0020982,21.884073,-159.588333,Facility,Privately Owned Facility,NPDES
UNKNOWN,HI0020991,21.314104,-157.878333,Facility,Privately Owned Facility,NPDES
AKANA PETROLEUM INC. KAWAIHAE,HI0021008,20.03508,-155.825301,Facility,Privately Owned Facility,NPDES
UNKNOWN,HI0021041,21.364102,-157.741111,Facility,Privately Owned Facility,NPDES
KAHUKU SHRIMP FARM,HI0021059,21.695056,-157.961667,Facility,Privately Owned Facility,NPDES
"HAWAIIAN CEMENT, PIER 34",HI0021083,21.314614,-157.87559,Facility,Privately Owned Facility,NPDES
COUNTY OF HAWAII PAPAIKOU-PAUKAA WWTP,HI0021113,19.783,-155.085972,Permitted Feature,Municipal or Water District,NPDES
COUNTY OF HAWAII PAPAIKOU-PAUKAA WWTP,HI0021113,19.782806,-155.087194,Permitted Feature,Municipal or Water District,NPDES
UNKNOWN,HI0021148,21.327715,-158.091667,Facility,Municipality,NPDES
MARISCO SHIPYARD,HI0021199,21.321444,-158.117694,Facility,Privately Owned Facility,NPDES
C&CH KAILUA REGIONAL WWTP,HI0021296,21.458889,-157.715556,Permitted Feature,Municipality,NPDES
KAMEHAMEHA HWY RECONSTRUCTION,HI0021326,21.37824,-157.93562,Facility,Municipality,NPDES
HAWAII COUNTY HILO WWTP,HI0021377,19.71375,-155.019278,Facility,Municipal or Water District,NPDES
HAWAII COUNTY HILO WWTP,HI0021377,19.715333,-155.019083,Permitted Feature,Municipal or Water District,NPDES
HAWAII COUNTY HILO WWTP,HI0021377,19.714278,-155.019056,Permitted Feature,Municipal or Water District,NPDES
HANALEI NAT'L WILDLIFE REFUGE,HI0021385,22.203889,-159.470833,Facility,Municipality,NPDES
MAHAULEPU QUARRY,HI0021491,21.904028,-159.413944,Facility,NA,NPDES
MAUI OCEAN CENTER,HI0021504,20.792056,-156.510917,Permitted Feature,Privately Owned Facility,NPDES
MAUI OCEAN CENTER,HI0021504,20.792889,-156.51225,Permitted Feature,Privately Owned Facility,NPDES
KAPAA LANDFILL,HI0021563,21.395278,-157.771944,Facility,Municipality,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.429694,-157.791917,Facility,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433333,-157.786583,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433167,-157.787111,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.432306,-157.787667,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433417,-157.786722,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433278,-157.786778,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433306,-157.786583,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433389,-157.787194,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433333,-157.787194,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433306,-157.787167,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.432833,-157.787583,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.432528,-157.787583,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.433306,-157.786583,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.43225,-157.787639,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.431444,-157.788139,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.431528,-157.788167,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.431583,-157.788194,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.432417,-157.787583,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.432556,-157.788944,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.432917,-157.787333,Permitted Feature,NA,NPDES
HAWAII INSTITUTE OF MARINE BIOLOGY,HI0021644,21.434056000000002,-157.787417,Permitted Feature,NA,NPDES
ALOUN KAUAI FARMING LLC,HI0021654,21.994944,-159.753639,Facility,Privately Owned Facility,NPDES
ALOUN KAUAI FARMING LLC,HI0021654,22.016944,-159.788889,Permitted Feature,Privately Owned Facility,NPDES
NAPILI WELL A GRANULAR ACTIVATED CARBON (GAC) TREATMENT FACILITY (1),HI0021661,20.973944,-156.643111,Permitted Feature,NA,NPDES
NAPILI WELL A GRANULAR ACTIVATED CARBON (GAC) TREATMENT FACILITY (1),HI0021661,20.973778,-156.642944,Permitted Feature,NA,NPDES
TOPA FINANCIAL CENTER,HI0021768,21.309097,-157.864453,Permitted Feature,NA,NPDES
TOPA FINANCIAL CENTER,HI0021768,21.309083,-157.864444,Permitted Feature,NA,NPDES
"KAMEHAMEHA HIGHWAY RESURFACING, WAIAHOLE VALLEY ROAD TO CROUCHING LION INN",HI0021789,21.484028,-157.844278,Facility,NA,NPDES
MOKAPU SADDLE ROAD RESURFACE,HI0021790,21.41251,-157.77368,Facility,Municipality,NPDES
US ARMY CORPS OF ENGINEERS,HI0021799,20.787611,-156.991139,Facility,Federal Facility (U.S. Government),NPDES
"HAWAIIAN EARTH PRODUCTS,",HI0021801,21.402333,-157.766528,Facility,Privately Owned Facility,NPDES
HUALALAI DEVELOPMENT COMPANY,HI0021802,19.814306,-155.979194,Facility,NA,NPDES
CENTREX REAL ESTATE CORP,HI0021804,19.918472,-155.884167,Facility,NA,NPDES
OFF MAMALAHOA HIGHWAY,HI0021806,19.4075,-155.904722,Facility,Privately Owned Facility,NPDES
"ROYAL SYSTEMS HAWAII, INC.",HI0021813,21.413417,-157.788028,Facility,NA,NPDES
"WB KD ACQUISTION, LLC",HI0021815,21.275603,-157.814265,Facility,Privately Owned Facility,NPDES
MANINIOWALI SUBDIVISION & QUEEN KAAHUMANU IMPROVEMENTS,HI0021821,19.794083,-156.005444,Facility,Privately Owned Facility,NPDES
HONUA LA'II WAI'ULA'ULA,HI0021823,20.011306,-155.822139,Facility,Privately Owned Facility,NPDES
GROVE FARM WATER TREATMENT FACILITY (1),HI0021824,22.020861,-159.396889,Facility,Privately Owned Facility,NPDES
KEAHOLE POINT FISH LLC,HI0021825,19.743056,-156.0625,Permitted Feature,Privately Owned Facility,NPDES
KEAHOLE POINT FISH LLC,HI0021825,19.743056,-156.0625,Permitted Feature,Privately Owned Facility,NPDES
KEAHOLE POINT FISH LLC,HI0021825,19.743056,-156.0625,Permitted Feature,Privately Owned Facility,NPDES
"KAILUA ROAD SEWERS, IMPROVEMENT DISTRICT NO. 276 PROJECT",HI0021831,21.392778,-157.745278,Facility,NA,NPDES
"HONOLULU MARINE, LLC",HI0021835,21.309139,-157.869694,Facility,Municipality,NPDES
HALEIWA WELLS GRANULAR ACTIVATED CARBON (GAC) FACILITY,HI0021839,21.577556,-158.093167,Facility,Municipality,NPDES
HAWAII OCEANIC TECHNOLOGY INC - AHI AQUACULTURE PROJECT,HI0021840,20.094444,-155.927778,Facility,NA,NPDES
KAWELA BRIDGE REPLACEMENT (1),HI0021841,21.063055,-156.949166,Facility,NA,NPDES
PHASE 1 - KAUMUALII HIGHWAY LIHUE MILL BRIDGE TO RICE STREET,HI0021852,21.976389,-159.374722,Facility,Municipal or Water District,NPDES
MANOA STREAM TRIBUTARY RETAINING WALL,HI0021855,21.313889,-157.804167,Facility,Municipal or Water District,NPDES
KAKAINA SUBDIVISION (1),HI0021860,21.34495,-157.72197,Facility,Municipal or Water District,NPDES
"HONOLULU HIGH-CAPACITY TRANSIT CORRIDOR PROJECT, FARRINGTON GUIDEWAY SECTION (1)",HI0021863,21.378098,-158.015971,Facility,Municipal or Water District,NPDES
"FY13 OMA REPLACE WATER VALVES EAST RANGE, SCHOFIELD BARRACKS, OAHU, HAWAII",HI0021864,21.4883,-158.0083,Facility,Federal Facility (U.S. Government),NPDES
KUKUIULA LARGE LOT 32 PHASE 1 (1),HI0021866,21.885833,-159.487778,Facility,Privately Owned Facility,NPDES
WOODLAWN DRIVE: 8-INCH WATER MAINS,HI0021868,21.313657,-157.806386,Facility,Municipal or Water District,NPDES
PRESSURE-WASHING OF FUEL TRANSFER PIPELINE AT THE KAUNAKAKAI HARBOR,HI0021872,21.08572,-157.02347,Facility,Privately Owned Facility,NPDES
MANELE REVERSE OSMOSIS DESALINATION FACILITY PILOT PLANT TESTING PROJECT,HI0021874,20.745475,-156.897472,Facility,Privately Owned Facility,NPDES
"KAMEHAMEHA HIGHWAY- HALEIWA WATER SYSTEM IMPROVEMENTS, PART II",HI0021877,21.605261,-158.097953,Facility,Municipality,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC (1)",HI0021878,21.311389,-157.87,Facility,Privately Owned Facility,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC (1)",HI0021878,21.311389,-157.87,Permitted Feature,Privately Owned Facility,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC (1)",HI0021878,21.309722,-157.869444,Permitted Feature,Privately Owned Facility,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC (1)",HI0021878,21.310556,-157.87,Permitted Feature,Privately Owned Facility,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC (1)",HI0021878,21.312222,-157.870556,Permitted Feature,Privately Owned Facility,NPDES
"PACIFIC SHIPYARDS INTERNATIONAL, LLC (1)",HI0021878,21.310833,-157.871111,Permitted Feature,Privately Owned Facility,NPDES
ALII DRIVE CULVERT REPLACEMENT (1),HI0021883,19.624167,-155.985833,Facility,Municipal or Water District,NPDES
IAO SURFACE WATER TREATMENT PLANT,HI0021885,20.88282,-156.512,Facility,Municipal or Water District,NPDES
MARISCO LTD.,HI0021893,21.327083,-158.111611,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.327778,-158.111,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.327389,-158.11125,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.322083,-158.117861,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.322333,-158.118139,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.322222,-158.118833,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.322861,-158.118417,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.322861,-158.118417,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.322861,-158.117889,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.324611,-158.111806,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.324611,-158.111806,Permitted Feature,Privately Owned Facility,NPDES
MARISCO LTD.,HI0021893,21.324056,-158.112361,Permitted Feature,Privately Owned Facility,NPDES
WAIAHI SURFACE WATER TREATMENT PLANT,HI0021894,22.020861,-159.396889,Facility,Privately Owned Facility,NPDES
WAIAHI SURFACE WATER TREATMENT PLANT,HI0021894,22.02,-159.396389,Permitted Feature,Privately Owned Facility,NPDES
AHUIMANU WASTEWATER PRE-TREATMENT FACILITY FORCE MAIN  HAIKU ROAD BYPASS SEWER,HI0021896,21.417083,-157.808194,Facility,Municipal or Water District,NPDES
HALONA STREET BRIDGE REPLACEMENT PROJECT - PROJECT NO. HI STP H1(1),HI0021898,21.327554,-157.867152,Facility,Federal Facility (U.S. Government),NPDES
MAILIILII ROAD: 20-INCH WATER MAIN REPLACEMENT CROSSING MAILIILII STREAM,HI0021899,21.432778,-158.17,Facility,Municipal or Water District,NPDES
ANOI ROAD WATER SYSTEM IMPROVEMENTS (1),HI0021902,21.417575,-157.792931,Facility,Municipal or Water District,NPDES
HNL CONSOLIDATED CAR RENTAL FACILITY (2),HI0021906,21.327791,-157.898937,Facility,State Government,NPDES
MANOA ESTATES WATER SYSTEM IMPROVEMENTS,HI0021908,21.325818,-157.800443,Facility,Municipality,NPDES
AWA STREET WASTEWATER PUMP STATION FORCE MAIN AND SEWER SYSTEM IMPROVEMENTS - WA,HI0021910,21.331085,-157.866512,Facility,Municipal or Water District,NPDES
KAPALAMA JET FUEL PIPELINE - ROAD PACKAGE,HI0021915,21.315118,-157.888188,Facility,Privately Owned Facility,NPDES
KALAHEO WATER SYSTEM IMPROVEMENTS,HI0021916,21.944076,-159.528741,Facility,Municipal or Water District,NPDES
HOOPILI OFFSITE POTABLE WATER SYSTEM,HI0021924,21.3847,-158.05444,Permitted Feature,Privately Owned Facility,NPDES
HOOPILI OFFSITE POTABLE WATER SYSTEM,HI0021924,21.37777,-158.047222,Permitted Feature,Privately Owned Facility,NPDES
HOOPILI OFFSITE POTABLE WATER SYSTEM,HI0021924,21.375833,-158.04333,Permitted Feature,Privately Owned Facility,NPDES
KAPALAMA TERMINAL JET FUEL PIPELINE-ROAD PACKAGE,HI0021927,21.315025,-157.888332,Facility,Privately Owned Facility,NPDES
KAMEHAMEHA HIGHWAY WASTEWATER PUMP STATION 36  FORCE MAIN REPLACEMENT,HI0021930,21.333532,-157.89385,Facility,Municipal or Water District,NPDES
LUALUALEI LINE BOOSTER SYSTEM IMPROVEMENTS,HI0021931,21.395116,-158.158783,Permitted Feature,Municipality,NPDES
LUALUALEI LINE BOOSTER SYSTEM IMPROVEMENTS,HI0021931,21.395116,-158.158783,Facility,Municipality,NPDES
WAI'AHA WATER SYSTEM IMPROVEMENTS - TRANSMISSION,HI0021932,19.633713,-155.95743,Facility,Municipality,NPDES
GENKI ALA WAI PROJECT,HI0021938,21.275361,-157.817925,Facility,Privately Owned Facility,NPDES
"PIER 26, HONOLULU HARBOR",HI0021939,21.310923,-158.103352,Facility,Privately Owned Facility,NPDES
"PIER 26, HONOLULU HARBOR",HI0021939,21.317444,-157.882278,Permitted Feature,Privately Owned Facility,NPDES
"PIER 26, HONOLULU HARBOR",HI0021939,21.317444,-157.882222,Permitted Feature,Privately Owned Facility,NPDES
KAHALA HOTEL & RESORT,HI0021942,21.271111,-157.774167,Permitted Feature,NA,NPDES
KAHALA HOTEL & RESORT,HI0021942,21.271389,-157.772778,Permitted Feature,NA,NPDES
IAO SURFACE WATER TREATMENT PLANT,HI0021946,20.88282,-156.512,Facility,Municipal or Water District,NPDES
IAO SURFACE WATER TREATMENT PLANT,HI0021946,20.88216,-156.51377,Permitted Feature,Municipal or Water District,NPDES
HALEIWA WELLS GRANULAR ACTIVATED CARBON (GAC) WATER TREATMENT FACILITY,HI0021950,21.580556,-158.101111,Permitted Feature,Municipality,NPDES
HALEIWA WELLS GRANULAR ACTIVATED CARBON (GAC) WATER TREATMENT FACILITY,HI0021950,21.580556,-158.101111,Permitted Feature,Municipality,NPDES
HAWAIIAN CEMENT - HALAWA QUARRY LOWER AREA,HI0021951,21.375417,-157.909028,Permitted Feature,NA,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,22.0115,-159.781944,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,22.013611,-159.783778,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,22.053222,-159.784083,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,21.959722,-159.692778,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,21.960722,-159.702278,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,21.97175,-159.732611,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,21.97375,-159.737167,Permitted Feature,State Government,NPDES
OUTFALLS OF THE MANA PLAIN DRAINAGE DITCH SYSTEM,HI0021952,21.96525,-159.712194,Permitted Feature,State Government,NPDES
C&CH WAIANAE WWTP,HI0021953,21.423889,-158.198333,Permitted Feature,Federal Facility (U.S. Government),NPDES
C&CH HONOULIULI WWTP,HI0021954,21.279722,-158.027778,Permitted Feature,Municipal or Water District,NPDES
C&CH HONOULIULI WWTP,HI0021954,21.329694,-158.035611,Permitted Feature,Municipal or Water District,NPDES
MARINE CORPS BASE HAWAII KANEOHE BAY WATER RECLAMATION FACILITY,HI0110078,21.438639,-157.758472,Facility,Federal Facility (U.S. Government),NPDES
MARINE CORPS BASE HAWAII KANEOHE BAY WATER RECLAMATION FACILITY,HI0110078,21.438111,-157.758889,Permitted Feature,Federal Facility (U.S. Government),NPDES
MARINE CORPS BASE HAWAII KANEOHE BAY WATER RECLAMATION FACILITY,HI0110078,21.438639,-157.758472,Permitted Feature,Federal Facility (U.S. Government),NPDES
JOINT BASE PEARL HARBOR-HICKAM WASTEWATER TREATMENT PLANT,HI0110086,21.326167,-157.963917,Permitted Feature,Federal Facility (U.S. Government),NPDES
JOINT BASE PEARL HARBOR-HICKAM WASTEWATER TREATMENT PLANT,HI0110086,21.327806,-157.963139,Permitted Feature,Federal Facility (U.S. Government),NPDES
JOINT BASE PEARL HARBOR-HICKAM WASTEWATER TREATMENT PLANT,HI0110086,21.327361,-157.962972,Permitted Feature,Federal Facility (U.S. Government),NPDES
SCHOFIELD BARRACKS WASTEWATER TREATMENT PLANT,HI0110141,21.475222,-158.044583,Facility,Privately Owned Facility,NPDES
SCHOFIELD BARRACKS WASTEWATER TREATMENT PLANT,HI0110141,21.500278,-158.050556,Permitted Feature,Privately Owned Facility,NPDES
