sample_id,dist_to_nearest_cesspool_m
OA321,77.4
OA323,132.6
OA324,105.2
OA325,92.9
OA326,74
OA327,141.5
OA328,174.2
OA33,533.4
OA331,399.1
OA332,958.1
OA333,600.3
OA334,461.3
OA336,91.7
OA337,494.3
OA338,6.4
OA34,420.1
OA340,184.7
OA341,373.7
OA342,782.1
OA343,1209.9
OA345,461.3
OA346,958.1
OA347,399.1
OA348,57.5
OA349,600.3
OA35,276.9
OA350,585.9
OA351,1132
OA352,618.5
OA353,34.7
OA354,1289.8
OA355,1659.1
OA356,1203.8
OA357,436.2
OA358,925
OA359,1147.2
OA36,680.5
OA360,386.6
OA361,1761.9
OA362,2373.2
OA363,233.3
OA364,1529.7
OA367,203
OA369,128.9
OA370,1162.7
OA375,37.2
OA378,287.8
OA38,941
OA380,1780.3
OA381,233.6
OA382,50.4
OA383,3263.4
OA386,166.1
OA389,4120.8
OA39,405.4
OA391,144.9
OA392,223.9
OA394,233.3
OA396,537.9
OA399,1687
OA4,28.6
OA40,1526.8
OA401,268.3
OA402,635.2
OA403,572.6
OA406,359.6
OA408,1214.5
OA412,323.3
OA416,540.7
OA418,511
OA419,819.2
OA420,473.4
OA421,679.1
OA422,997.2
OA423,521.4
OA424,486.5
OA425,37.2
OA426,540.7
OA429,3577.2
OA43,568.2
OA433,3478.4
OA434,582
OA436,37.2
OA437,616.6
OA439,1728.2
OA44,536.4
OA440,1196.6
OA443,489.2
OA444,9.4
OA446,1202.7
OA448,560.9
OA449,620.4
OA450,239.9
OA451,218.6
OA452,531.9
OA453,2859.4
OA454,418.3
OA455,702.9
OA456,1513.1
OA457,532.1
OA458,592.6
OA459,479.8
OA46,1216.2
OA460,2285.9
OA461,1620.9
OA464,298.5
OA465,1041.4
OA466,643.6
OA467,925
OA468,259.2
OA469,2379.9
OA47,1134.7
OA470,950.2
OA472,446.8
OA473,1240.9
OA474,766.8
OA475,3239.7
OA476,1308.5
OA477,1508.2
OA478,1301.9
OA479,1270.4
OA480,1268.4
OA482,728
OA484,2262.7
OA485,511
OA486,1505.3
OA487,3686.7
OA488,943.5
OA489,57.6
OA49,92.4
OA490,783.5
OA491,48.5
OA492,1167.8
OA493,1172.1
OA494,1029
OA495,279.5
OA496,1435.7
OA497,896.6
OA498,950.2
OA499,669
OA5,102.6
OA50,1131.8
OA500,1090.7
OA501,1112.4
OA502,1426.6
OA503,956.5
