lat,lon,hs_mean_m,hs_max_m
18.05,-160.95,2.1895918020408165,2.9399998
18.05,-160.9,2.1893877224489797,2.95
18.05,-160.85,2.18877547755102,2.95
18.05,-160.8,2.1873469081632653,2.95
18.05,-160.75,2.186938742857143,2.96
18.05,-160.7,2.1857142591836736,2.97
18.05,-160.65,2.184693851020408,2.97
18.05,-160.6,2.183265279591837,2.97
18.05,-160.55,2.182857118367347,2.98
18.05,-160.5,2.181020379591837,2.98
18.05,-160.45,2.1804081346938777,2.98
18.05,-160.4,2.17816323877551,2.98
18.05,-160.35,2.1763265081632652,2.98
18.05,-160.3,2.174081612244898,2.98
18.05,-160.25,2.171836712244898,2.98
18.05,-160.2,2.169999981632653,2.98
18.05,-160.15,2.1683673285714287,2.98
18.05,-160.1,2.166938755102041,2.98
18.05,-160.05,2.1653061020408164,2.98
18.05,-160,2.163877532653061,2.98
18.05,-159.95,2.1606122285714284,2.97
18.05,-159.9,2.1577550857142858,2.97
18.05,-159.85,2.1551020204081635,2.96
18.05,-159.8,2.1518367081632652,2.96
18.05,-159.75,2.1467346653061226,2.95
18.05,-159.7,2.144081602040816,2.9399998
18.05,-159.65,2.1406122102040817,2.9299998
18.05,-159.6,2.1373469040816326,2.9299998
18.05,-159.55,2.1346938408163263,2.9199998
18.05,-159.5,2.13142853877551,2.9199998
18.05,-159.45,2.1291836346938777,2.9099998
18.05,-159.4,2.12653057755102,2.8999999
18.05,-159.35,2.1226530204081633,2.8799999
18.05,-159.3,2.1195917959183674,2.87
18.05,-159.25,2.114897918367347,2.86
18.05,-159.2,2.1106122,2.84
18.05,-159.15,2.107142818367347,2.83
18.05,-159.1,2.103877518367347,2.81
18.05,-159.05,2.1006122102040816,2.8
18.05,-159,2.097550989795918,2.79
18.05,-158.95,2.096530583673469,2.78
18.05,-158.9,2.0946938469387755,2.78
18.05,-158.85,2.0940816,2.77
18.05,-158.8,2.091836704081633,2.76
18.05,-158.75,2.091428542857143,2.76
18.05,-158.7,2.087142830612245,2.74
18.05,-158.65,2.0848979346938776,2.74
18.05,-158.6,2.0834693673469387,2.73
18.05,-158.55,2.0830612040816328,2.72
18.05,-158.5,2.081428548979592,2.72
18.05,-158.45,2.081632626530612,2.71
18.05,-158.4,2.0818366999999998,2.71
18.05,-158.35,2.0818366959183674,2.71
18.05,-158.3,2.0814285306122446,2.7
18.05,-158.25,2.082244851020408,2.7
18.05,-158.2,2.0799999571428573,2.69
18.05,-158.15,2.079387712244898,2.69
18.05,-158.1,2.0789795469387755,2.6799998
18.05,-158.05,2.0791836285714287,2.6799998
18.05,-158,2.0779591469387757,2.6699998
18.05,-157.95,2.078979557142857,2.6599998
18.05,-157.9,2.0808162918367348,2.6599998
18.05,-157.85,2.080612206122449,2.6599998
18.05,-157.8,2.081428530612245,2.6599998
18.05,-157.75,2.0840815918367346,2.6699998
18.05,-157.7,2.0824489326530613,2.6699998
18.05,-157.65,2.08244893877551,2.6699998
18.05,-157.6,2.0826530204081632,2.6699998
18.05,-157.55,2.082653026530612,2.6799998
18.05,-157.5,2.0818366999999998,2.6799998
18.05,-157.45,2.0826530285714284,2.6799998
18.05,-157.4,2.083469357142857,2.69
18.05,-157.35,2.0828571102040816,2.69
18.05,-157.3,2.082857108163265,2.69
18.05,-157.25,2.085102004081633,2.69
18.05,-157.2,2.081428532653061,2.69
18.05,-157.15,2.0804081224489797,2.69
18.05,-157.1,2.078775473469388,2.69
18.05,-157.05,2.078163230612245,2.69
