sample_id,hs_at_collection_m,hs_mean_m,hs_max_m
M1,0.59999996,0.5010204010204081,0.82
M10,0.59999996,0.5010204010204081,0.82
M100,0.29,0.48102040285714287,0.66999996
M101,1.66,1.1067346714285715,1.8399999
M102,1.66,1.1067346714285715,1.8399999
M103,1.52,1.3714285471428571,2.27
M104,1.66,1.1067346714285715,1.8399999
M105,1.31,1.1067346714285715,1.8399999
M106,1.54,1.0020407975510204,1.68
M107,2.47,1.8414285387755103,2.8999999
M108,2.47,1.8414285387755103,2.8999999
M109,2.47,1.8414285387755103,2.8999999
M11,0.63,0.4987755044897959,0.64
M113,1.54,1.0020407975510204,1.68
M114,1.54,1.0020407975510204,1.68
M115,1.54,1.0020407975510204,1.68
M120,2.75,1.7853060979591837,2.75
M121,1.54,1.0020407975510204,1.68
M122,1.54,1.0020407975510204,1.68
M123,1.54,1.0020407975510204,1.68
M125,1.54,1.0020407975510204,1.68
M126,1.66,1.1067346714285715,1.8399999
M127,1.54,1.0020407975510204,1.68
M128,1.66,1.1067346714285715,1.8399999
M13,0.59999996,0.5010204010204081,0.82
M130,1.54,1.0020407975510204,1.68
M135,0.59999996,0.5010204010204081,0.82
M136,0.5,0.43244897387755105,0.64
M141,0.5,0.43244897387755105,0.64
M142,0.7,0.7624489702040816,1.04
M143,0.7,0.7624489702040816,1.04
M147,0.29999998,0.48102040285714287,0.66999996
M148,0.7,0.7624489702040816,1.04
M15,2.48,1.7732652897959185,2.69
M150,1.15,0.9661224314285715,1.5999999
M151,1.15,0.9661224314285715,1.5999999
M153,0.63,0.4987755044897959,0.64
M154,0.29999998,0.48102040285714287,0.66999996
M155,0.29999998,0.48102040285714287,0.66999996
M16,0.59999996,0.5010204010204081,0.82
M162,0.63,0.4987755044897959,0.64
M164,0.59999996,0.5010204010204081,0.82
M167,0.59,0.5536734630612244,0.74
M169,1.02,0.9991836591836735,1.48
M171,0.63,0.5657142806122449,0.76
M172,0.63,0.4987755044897959,0.64
M176,0.63,0.4987755044897959,0.64
M177,0.63,0.4987755044897959,0.64
M178,0.63,0.4987755044897959,0.64
M179,0.63,0.4987755044897959,0.64
M18,0.63,0.4987755044897959,0.64
M180,0.63,0.4987755044897959,0.64
M181,0.59999996,0.5612244828571429,0.89
M182,1.52,1.3714285471428571,2.27
M183,0.59999996,0.5612244828571429,0.89
M184,1.0799999,1.0020407975510204,1.68
M185,2.18,1.7732652897959185,2.69
M186,0.59,0.43244897387755105,0.64
M189,0.59999996,0.5010204010204081,0.82
M19,2.51,1.7853060979591837,2.75
M190,0.59,0.43244897387755105,0.64
M191,0.59999996,0.5612244828571429,0.89
M192,1.0799999,1.0020407975510204,1.68
M193,0.59999996,0.5612244828571429,0.89
M194,1.52,1.3714285471428571,2.27
M195,1.52,1.3714285471428571,2.27
M196,1.52,1.3714285471428571,2.27
M197,0.77,1.0020407975510204,1.68
M198,0.77,1.0020407975510204,1.68
M199,0.59,0.43244897387755105,0.64
M200,0.77,1.1067346714285715,1.8399999
M201,0.59999996,0.5612244828571429,0.89
M202,2.18,1.7732652897959185,2.69
M203,1.0799999,1.0020407975510204,1.68
M204,0.77,1.1067346714285715,1.8399999
M205,2.58,1.7448979285714286,2.59
M207,0.68,0.5055102004081633,0.71
M208,2.03,1.2316326318367348,2.08
M211,1.02,0.9991836591836735,1.48
M212,1.64,1.2316326318367348,2.08
M213,1.64,1.2316326318367348,2.08
M214,1.64,1.2316326318367348,2.08
M216,1.64,1.2316326318367348,2.08
M217,1.9599999,1.2316326318367348,2.08
M218,1.64,1.2316326318367348,2.08
M219,2.03,1.2316326318367348,2.08
M22,0.63,0.4987755044897959,0.64
M220,1.64,1.2316326318367348,2.08
M222,1.02,0.9991836591836735,1.48
M223,2.36,1.6910203857142856,2.62
M224,1.0799999,1.0706122310204083,1.54
M225,2.36,1.6910203857142856,2.62
M226,2.08,1.2316326318367348,2.08
M227,1.64,1.2316326318367348,2.08
M228,1.64,1.2316326318367348,2.08
M23,1.8499999,1.7853060979591837,2.75
M230,1.64,1.2316326318367348,2.08
M231,1.37,1.2316326318367348,2.08
M232,0.48999998,0.5657142806122449,0.76
M233,1.9599999,1.2316326318367348,2.08
M234,1.64,1.2316326318367348,2.08
M236,0.63,0.5657142806122449,0.76
M237,0.63,0.5657142806122449,0.76
M238,2.36,1.6910203857142856,2.62
M239,2.36,1.6910203857142856,2.62
M24,0.59999996,0.5010204010204081,0.82
