ahupuaa,moku,island,n_cesspools,area_m2,cesspool_density_per_km2
Waiākea,Hilo,Hawaiʻi,6675,399616882.2067237,16.703498518731227
Keaʻau,Puna,Hawaiʻi,6623,264901435.97213653,25.001751975012453
Kapaʻa,Puna,Kauaʻi,2755,31597371.75707834,87.19079615800115
Makawao,Hāmākuapoko,Maui,1974,30815792.33617965,64.05806407523072
Wailua,Puna,Kauaʻi,1967,93506062.43294823,21.03606920043827
ʻŌlaʻa,Puna,Hawaiʻi,1853,244688217.22592512,7.572902451159269
Kalāheo,Kona,Kauaʻi,1579,21713035.050460353,72.72129374499963
Puʻukapu,Kohala,Hawaiʻi,1533,101849258.57790197,15.05165596102446
Kalaoa 1-5,Kona,Hawaiʻi,1514,14188914.011210307,106.70302172554054
"Waiakahiula, Kaʻohe",Puna,Hawaiʻi,1431,136388554.62909085,10.492082740312116
Ponahawai,Hilo,Hawaiʻi,1343,13772739.598253904,97.51146388989045
Makaʻehu,Kula,Maui,1311,28867457.65187229,45.41445997115617
Hōlualoa 1-2,Kona,Hawaiʻi,1231,30892632.57653141,39.8476885047074
Waimea,Kona,Kauaʻi,1223,539153221.0885946,2.268371869374466
Honouliuli,ʻEwa,Oʻahu,1153,177786441.30768,6.485308955617151
"Waimea, Waikoloa",Kohala,Hawaiʻi,1119,417554875.33410025,2.6798872821318374
Waikahekahe,Puna,Hawaiʻi,1114,11770000.230247758,94.6474068145834
"Lanihau 1-2, Moeauo",Kona,Hawaiʻi,1084,15946670.027374702,67.97657430292102
Waikahekahenui,Puna,Hawaiʻi,1057,16851974.609332144,62.722620019535476
Kahuku,Kaʻū,Hawaiʻi,988,888555493.907005,1.111917046008837
Kōloa,Kona,Kauaʻi,948,35391405.71717191,26.786164064119966
Waiʻanae,Waiʻanae,Oʻahu,831,150966170.41784108,5.504544479733275
Kamananui,Waialua,Oʻahu,811,89291449.21565528,9.08261661249652
"Lālāmilo, Keanuʻiʻomanō",Kohala,Hawaiʻi,810,51991667.42582425,15.579419551327435
ʻŌmaʻopio,Kula,Maui,667,17020494.945259187,39.18804959228187
Lāwai,Kona,Kauaʻi,649,13949920.576948851,46.52356236869345
