island,sample_id,collected_hst,latitude,longitude,Salinity,NO3NO2,NO2 (umol/L),PO4,SiO2,NH3
Maui,M1,2026-03-29T21:43:00Z,20.78944444,-156.4741667,29.717,0.383,0,0.154,3.528,NA
Maui,M10,2026-03-29T23:06:00Z,20.79723,-156.49644,34.29,1.151,0,0.527,2.205,0.851
Maui,M100,2026-03-31T02:58:00Z,20.90944444,-156.4261111,33.45,16.091,0,0.333,85.869,0.745
Maui,M101,2026-03-29T21:15:00Z,20.93833333,-156.6927778,29.779,2.013,0,0.1858,9.2396,0.6538
Maui,M102,2026-03-29T21:05:00Z,20.94277778,-156.6922222,25.55,0.16,0,0.156,4.736,0.104
Maui,M103,2026-03-29T20:05:00Z,20.985,-156.6722222,35.349,1.6944,0,0.2533,11.9273,0.6761
Maui,M104,2026-03-29T21:25:00Z,20.93444444,-156.6927778,32.884,2.98,0,0.196,15.303,NA
Maui,M105,2026-03-29T20:59:00Z,20.94507,-156.69245,34.06,0.267,0,0.173,7.358,0
Maui,M106,2026-03-29T23:29:00Z,20.915928,-156.696362,35.879,0.828,0,0.1151,3.038,0.4664
Maui,M107,2026-03-29T23:14:00Z,21.0135,-156.6379333,31.88,4.129,0.099,0.533,17.488,0.909
Maui,M108,2026-03-29T23:46:59Z,21.01125,-156.64275,35.62,0.878,0,0.193,4.494,0.327
Maui,M109,2026-03-29T23:59:59Z,21.00553889,-156.6501889,35.54,0.551,0,0.202,4.203,0.251
Maui,M11,2026-03-29T23:37:00Z,20.79611111,-156.5855556,33.521,1.753,0,0.083,5.176,NA
Maui,M113,2026-03-29T23:16:00Z,20.920803,-156.696024,35.379,0.9309,0,0.1327,3.0741,0.1767
Maui,M114,2026-03-29T23:52:00Z,20.910666,-156.689716,35.679,1.8269,0,0.2086,5.4573,0.9507
Maui,M115,2026-03-29T23:20:00Z,20.89722222,-156.685,32.769,12.4571,0.0964,0.5682,63.5342,0.7124
Maui,M120,2026-04-01T02:37:00Z,20.91305556,-156.4011111,32.22,1.293,0,0.169,7.125,0.277
Maui,M121,2026-03-29T23:46:00Z,20.88138889,-156.6869444,28.587,0.674,0,0.114,8.903,NA
Maui,M122,2026-03-29T23:39:00Z,20.912922,-156.693314,32.37,0.772,0,0.188,4.829,0
Maui,M123,2026-03-29T23:07:00Z,20.923831,-156.695126,34.36,0.676,0,0.135,5.272,NA
Maui,M125,2026-03-29T23:24:00Z,20.89444444,-156.6847222,29.574,NA,2.8666,4.7821,NA,20.7763
Maui,M126,2026-03-29T23:01:00Z,20.925655,-156.695154,34.051,1.769,0,0.189,14.391,NA
Maui,M127,2026-03-29T23:46:00Z,20.911661,-156.690421,33.909,0.934,0,0.2391,4.6769,2.446
Maui,M128,2026-03-29T22:53:00Z,20.926797,-156.695703,34,6.398,0,0.425,28.595,0
Maui,M13,2026-03-29T21:31:00Z,20.78611111,-156.4686111,33.359,1.213,0,0.1349,3.5938,0.7111
Maui,M130,2026-03-30T00:24:00Z,20.90279722,-156.6852722,34.29,5.534,0,0.667,41.245,0.862
Maui,M135,2026-03-29T23:53:59Z,20.78381,-156.46568,28.387,0.69,0,0.136,2.399,NA
Maui,M136,2026-03-29T20:45:00Z,20.67527778,-156.4436111,35.329,1.5507,0,0.105,8.3849,0.1181
Maui,M141,2026-03-29T20:55:00Z,20.69138889,-156.4441667,25.55,11.425,0,NA,12.248,0
Maui,M142,2026-03-29T19:49:00Z,20.59944444,-156.4205556,28.25,28.0899,<0.07,0.5293,61.7807,5.033
Maui,M143,2026-03-29T19:55:00Z,20.59916667,-156.4202778,33.652,16.0953,0.118,0.1686,4.9971,0.5798
Maui,M147,2026-03-29T21:42:00Z,20.9013572,-156.439815,32.529,12.3303,0.1259,0.2943,54.8397,0.2266
Maui,M148,2026-03-29T20:04:00Z,20.59861111,-156.4194444,34.051,6.543,0.129,0,4.003,NA
Maui,M15,2026-03-30T00:35:00Z,20.92222222,-156.3738889,33.861,0,0,0,5.866,NA
Maui,M150,2026-03-29T19:07:00Z,20.86694444,-156.6755556,33.123,0.428,0,0.122,15.066,NA
Maui,M151,2026-03-29T19:13:00Z,20.86861111,-156.6766667,35.599,0.9368,0,0.0999,3.5671,0.3767
Maui,M153,2026-03-29T23:27:00Z,20.7966982,-156.5862323,35.319,2.4011,0,0,3.1179,1.5198
