site,sample_id,island,latitude,longitude
Kihei,OA92,Maui,20.761579,-156.459757
Kihei,OA95,Maui,20.745833333333334,-156.45777777777778
Maunalua Bay,OA 274,O'ahu,21.261111111111113,-157.71138888888888
Maunalua Bay,OA160,O'ahu,21.261111111111113,-157.71138888888888
Maunalua Bay,OA17,O'ahu,21.282991,-157.716865
Maunalua Bay,OA18,O'ahu,21.282995,-157.716854
Maunalua Bay,OA19,O'ahu,21.283035,-157.716894
Maunalua Bay,OA197,O'ahu,21.27861111111111,-157.70999999999998
Maunalua Bay,OA20,O'ahu,21.283018,-157.716878
Maunalua Bay,OA255,O'ahu,21.26638888888889,-157.71027777777778
Maunalua Bay,OA257,O'ahu,21.27108,-157.69673
Maunalua Bay,OA275,O'ahu,21.261111111111113,-157.71138888888888
Maunalua Bay,OA342,O'ahu,21.26644,-157.71021
Maunalua Bay,OA360,O'ahu,21.28417,-157.721
Maunalua Bay,OA418,O'ahu,21.282967,-157.720671
Maunalua Bay,OA420,O'ahu,21.283333333333335,-157.72083333333333
Maunalua Bay,OA446,O'ahu,21.27889,-157.71
Maunalua Bay,OA472,O'ahu,21.28361,-157.721
Maunalua Bay,OA473,O'ahu,21.27806,-157.709
Maunalua Bay,OA474,O'ahu,21.26625,-157.71035
Maunalua Bay,OA485,O'ahu,21.282967,-157.720671
Maunalua Bay,OA500,O'ahu,21.281666666666666,-157.72833333333332
Maunalua Bay,OA501,O'ahu,21.280833333333334,-157.72916666666666
Maunalua Bay,OA502,O'ahu,21.27611111111111,-157.7263888888889
Maunalua Bay,OA503,O'ahu,21.281666666666666,-157.73194444444445
Maunalua Bay,OA504,O'ahu,21.280833333333334,-157.73194444444445
Maunalua Bay,OA521,O'ahu,21.276666666666667,-157.70944444444444
Maunalua Bay,OA522,O'ahu,21.2825,-157.72194444444446
Maunalua Bay,OA523,O'ahu,21.285,-157.72027777777777
Maunalua Bay,OA524,O'ahu,21.28444,-157.719
Maunalua Bay,OA525,O'ahu,21.28306,-157.716
Maunalua Bay,OA553,O'ahu,21.279166666666665,-157.70944444444444
Maunalua Bay,OA557,O'ahu,21.28333333333333,-157.7211111111111
Maunalua Bay,OA563,O'ahu,21.28111111111111,-157.72833333333332
Maunalua Bay,OA582,O'ahu,21.283055555555556,-157.71555555555554
Maunalua Bay,OA791,O'ahu,21.28117,-157.71256
Maunalua Bay,OA799,O'ahu,21.28438,-157.71872
Pupukea,OA183,O'ahu,21.64,-158.0638888888889
Pupukea,OA324,O'ahu,21.655277777777776,-158.06166666666667
Pupukea,OA326,O'ahu,21.645833333333332,-158.0638888888889
Pupukea,OA338,O'ahu,21.652777777777775,-158.0613888888889
Pupukea,OA709,O'ahu,21.66,-158.05722222222224
Pupukea,OA854,O'ahu,21.651678,-158.062029
Pupukea,OA860,O'ahu,21.650776,-158.062494
Pupukea,OA866,O'ahu,21.650337,-158.062772
Pupukea,OA867,O'ahu,21.649267,-158.063359
Wailua,OA261,O'ahu,21.51543,-157.83638
Wailua,OA262,O'ahu,21.50854,-157.83962
Wailua,OA263,O'ahu,21.49848,-157.85132
Wailua,OA264,O'ahu,21.54508,-157.84554
Wailua,OA394,O'ahu,21.509444444444444,-157.8363888888889
Wailua,OA403,O'ahu,21.512777777777778,-157.8361111111111
Wailua,OA954,O'ahu,21.535555555555558,-157.83972222222224
Wailua,OA960,O'ahu,21.558055555555555,-157.85888888888888
Wailua,OA963,O'ahu,21.5175,-157.83666666666667
Wailua,OA964,O'ahu,21.554722222222225,-157.85083333333333
Wailua,OA969,O'ahu,21.542222222222225,-157.8427777777778
Wailua,OA974,O'ahu,21.548333333333336,-157.84666666666666
