site,sample_id,island,latitude,longitude
Ahuimanu,OA 394,O'ahu,21.454,-157.81799999999998
Ahuimanu,OA363,O'ahu,21.454,-157.81799999999998
Ahuimanu,OA381,O'ahu,21.454027777777778,-157.81799999999998
Ahuimanu,OA444,O'ahu,21.453055555555554,-157.81555555555556
Ahuimanu,OA999,O'ahu,21.454027777777778,-157.81799999999998
Heeia,OA396,O'ahu,21.424166666666668,-157.8
Heeia,OA416,O'ahu,21.443055555555556,-157.81166666666667
Heeia,OA426,O'ahu,21.443055555555556,-157.81166666666667
Heeia,OA499,O'ahu,21.44388888888889,-157.8102777777778
Heeia,OA88,O'ahu,21.443055555555556,-157.81166666666667
Kahaluu,OA434,O'ahu,21.459166666666665,-157.83194444444445
Kahaluu,OA973,O'ahu,21.46,-157.83972222222224
Kahaluu,OA99,O'ahu,21.45888888888889,-157.83194444444445
Kahekili,M101,Maui,20.938333333333333,-156.6927777777778
Kahekili,M104,Maui,20.934444444444445,-156.6927777777778
Kahekili,M106,Maui,20.915928,-156.696362
Kahekili,M110,Maui,20.92872,-156.69559
Kahekili,M111,Maui,20.92682,-156.69596
Kahekili,M113,Maui,20.920803,-156.696024
Kahekili,M114,Maui,20.910666,-156.689716
Kahekili,M119,Maui,20.91184,-156.69257
Kahekili,M122,Maui,20.912922,-156.693314
Kahekili,M123,Maui,20.923831,-156.695126
Kahekili,M126,Maui,20.925655,-156.695154
Kahekili,M127,Maui,20.911661,-156.690421
Kahekili,M128,Maui,20.926797,-156.695703
Kahekili,M130,Maui,20.902797222222222,-156.68527222222224
Kahekili,M184,Maui,20.912346,-156.693116
Kahekili,M192,Maui,20.914155,-156.695346
Kahekili,M203,Maui,20.91014,-156.689199
Kahekili,M95,Maui,20.93065,-156.693682
Kahekili,M96,Maui,20.933456,-156.692855
Kahekili,OA106,Maui,20.93692,-156.69298
Kahekili,OA111,Maui,20.910555555555554,-156.68972222222223
Kahekili,OA116,Maui,20.93662,-156.69482
Kahekili,OA33,Maui,20.904444444444444,-156.6861111111111
Kihei,M1,Maui,20.789444444444445,-156.47416666666666
Kihei,M13,Maui,20.78611111111111,-156.4686111111111
Kihei,M135,Maui,20.78381,-156.46568
Kihei,M164,Maui,20.781388888888888,-156.46305555555554
Kihei,M189,Maui,20.7823,-156.46397
Kihei,M199,Maui,20.720555555555553,-156.4475
Kihei,M27,Maui,20.764444444444443,-156.45944444444444
Kihei,M29,Maui,20.748333333333335,-156.45777777777778
Kihei,M33,Maui,20.731388888888887,-156.45388888888888
Kihei,M34,Maui,20.72861111111111,-156.45083333333332
Kihei,M36,Maui,20.747222222222224,-156.45805555555555
Kihei,M37,Maui,20.751944444444444,-156.45999999999998
Kihei,M38,Maui,20.759166666666665,-156.45999999999998
Kihei,M39,Maui,20.753333333333334,-156.45999999999998
Kihei,M40,Maui,20.74361111111111,-156.45749999999998
Kihei,M41,Maui,20.7575,-156.4597222222222
Kihei,M42,Maui,20.760833333333334,-156.45999999999998
Kihei,M43,Maui,20.755555555555556,-156.45944444444444
Kihei,M44,Maui,20.761944444444445,-156.4597222222222
Kihei,M45,Maui,20.755277,-156.4594
Kihei,M46,Maui,20.7275,-156.45000000000002
Kihei,M48,Maui,20.765833333333333,-156.45944444444444
Kihei,M49,Maui,20.739722222222223,-156.45666666666665
Kihei,M56,Maui,20.783055555555556,-156.46499999999997
Kihei,M57,Maui,20.78888888888889,-156.47194444444446
Kihei,M58,Maui,20.784166666666668,-156.4661111111111
Kihei,M59,Maui,20.781944444444445,-156.46388888888887
Kihei,M62,Maui,20.787222222222223,-156.47
Kihei,M63,Maui,20.785,-156.46777777777777
Kihei,M69,Maui,20.7556,-156.4568661
Kihei,M8,Maui,20.791111111111114,-156.4775
Kihei,OA 54,Maui,20.72833333333333,-156.45027777777776
Kihei,OA133,Maui,20.78114,-156.46292
Kihei,OA134,Maui,20.77028,-156.45942
Kihei,OA139,Maui,20.77397,-156.46053
Kihei,OA140,Maui,20.76156,-156.45988
Kihei,OA142,Maui,20.76376,-156.45931
Kihei,OA143,Maui,20.75868,-156.45987
Kihei,OA22,Maui,20.787827,-156.47073
Kihei,OA23,Maui,20.731219999999997,-156.45387699999998
Kihei,OA235,Maui,20.78222222222222,-156.46416666666664
Kihei,OA24,Maui,20.770177,-156.45934599999998
Kihei,OA25,Maui,20.782384,-156.46402683333332
Kihei,OA27,Maui,20.764617833333332,-156.45918899999998
Kihei,OA29,Maui,20.739792,-156.456671
Kihei,OA31,Maui,20.745885833333336,-156.45756383333332
Kihei,OA39,Maui,20.743567833333334,-156.45745499999998
Kihei,OA74,Maui,20.731388888888887,-156.45388888888888
Kihei,OA76,Maui,20.739722222222223,-156.45666666666665
Kihei,OA90,Maui,20.75861111111111,-156.45999999999998
Kihei,OA91,Maui,20.76527777777778,-156.45888888888888
