sample_id,n_cess_500m,n_cess_1km
M1,0,0
M10,0,1
M100,17,17
M101,0,1
M102,1,2
M103,12,194
M104,0,2
M105,2,2
M106,1,3
M107,0,1
M108,1,1
M109,1,8
M11,0,0
M113,2,4
M114,0,6
M115,217,276
M120,3,4
M121,0,3
M122,0,2
M123,1,4
M125,177,278
M126,2,4
M127,0,7
M128,2,4
M13,1,1
M130,29,228
M135,1,1
M136,5,11
M141,0,0
M142,0,0
M143,0,0
M147,0,0
M148,0,0
M15,5,8
M150,4,6
M151,3,6
M153,0,0
M154,0,0
M155,0,0
M16,0,0
M162,1,5
M164,0,1
M167,NA,NA
M169,NA,NA
M171,NA,NA
M172,0,13
M176,0,0
M177,2,14
M178,13,14
M179,9,14
M18,0,0
M180,1,6
M181,10,14
M182,9,14
M183,14,14
M184,0,1
M185,0,4
M186,41,86
M189,1,1
M19,5,5
M190,1,126
M191,4,13
M192,1,3
M193,4,13
M194,9,13
M195,4,30
M196,11,128
M197,1,4
M198,2,4
M199,3,94
M200,1,4
M201,4,4
M202,0,0
M203,0,5
M204,2,4
M205,0,0
M207,NA,NA
M208,NA,NA
M211,NA,NA
M212,NA,NA
M213,NA,NA
M214,NA,NA
M216,NA,NA
M217,NA,NA
M218,NA,NA
M219,NA,NA
M22,0,0
M220,NA,NA
M222,NA,NA
M223,NA,NA
M224,NA,NA
M225,NA,NA
M226,NA,NA
M227,NA,NA
M228,NA,NA
M23,0,2
M230,NA,NA
M231,NA,NA
M232,NA,NA
M233,NA,NA
M234,NA,NA
M236,NA,NA
M237,NA,NA
M238,NA,NA
M239,NA,NA
M24,0,0
M240,NA,NA
M241,NA,NA
M242,NA,NA
M243,NA,NA
M247,NA,NA
M248,NA,NA
M249,NA,NA
M25,0,2
M252,NA,NA
M253,NA,NA
M254,NA,NA
M258,NA,NA
M259,NA,NA
M26,0,0
M261,NA,NA
M262,NA,NA
M263,NA,NA
M264,NA,NA
M265,NA,NA
M266,NA,NA
M268,NA,NA
M269,NA,NA
M27,0,0
M270,NA,NA
M271,NA,NA
M273,NA,NA
M274,NA,NA
M275,NA,NA
M276,NA,NA
