sample_id,n_cess_500m,n_cess_1km
M277,NA,NA
M278,NA,NA
M279,NA,NA
M28,0,0
M282,NA,NA
M283,NA,NA
M284,NA,NA
M286,NA,NA
M288,NA,NA
M289,NA,NA
M29,3,56
M290,NA,NA
M292,NA,NA
M293,NA,NA
M294,NA,NA
M295,NA,NA
M296,NA,NA
M297,NA,NA
M298,NA,NA
M299,NA,NA
M30,0,0
M300,NA,NA
M31,0,0
M32,0,0
M33,6,47
M34,28,59
M35,0,0
M36,2,58
M37,0,25
M38,0,0
M39,0,8
M4,0,0
M40,2,68
M41,0,0
M42,0,0
M43,0,3
M44,0,0
M45,0,3
M46,26,62
M47,0,0
M48,0,0
M49,5,47
M5,0,0
M50,0,0
M52,1,3
M53,2,3
M56,1,1
M57,0,1
M58,1,1
M59,0,1
M6,0,0
M62,0,1
M63,1,1
M64,0,0
M68,0,5
M69,0,8
M7,0,0
M73,2,5
M74,29,161
M75,0,0
M76,2,6
M77,2,3
M78,0,12
M79,17,31
M8,0,0
M81,0,0
M83,0,2
M86,10,17
M87,12,32
M88,8,141
M89,9,13
M9,0,0
M91,1,13
M92,2,2
M93,14,29
M94,21,204
M95,0,3
M96,0,2
M97,3,4
M98,0,4
M99,4,30
MA1,0,0
MK1,NA,NA
MK2,NA,NA
MK23,NA,NA
MK24,NA,NA
MK25,NA,NA
MK28,NA,NA
MK29,NA,NA
MK3,NA,NA
MK31,NA,NA
MK4,NA,NA
MK5,NA,NA
OA1,23,108
OA10,0,0
OA100,0,11
OA1001,0,0
OA1002,0,0
OA1003,0,0
OA1004,0,0
OA1005,0,0
OA1006,0,0
OA101,120,148
OA106,0,0
OA107,0,0
OA109,48,245
OA11,0,0
OA110,0,1
OA111,0,5
OA112,1,3
OA113,39,85
OA114,2,2
OA115,5,10
OA116,0,0
OA117,0,2
OA118,NA,NA
OA12,0,3
OA121,NA,NA
OA123,NA,NA
OA127,NA,NA
OA128,NA,NA
OA129,NA,NA
OA13,0,0
OA130,NA,NA
OA131,NA,NA
OA133,0,1
OA134,0,0
OA139,0,0
OA14,0,0
OA140,0,0
OA142,0,0
OA143,0,0
OA144,0,0
OA145,0,0
OA146,0,0
OA147,0,0
OA148,0,0
OA149,0,0
OA15,0,0
OA150,0,0
OA151,12,18
OA152,0,3
OA153,0,7
OA154,16,18
OA155,9,18
OA157,0,6
OA16,0,0
OA160,1,1
OA162,0,0
OA164,0,0
OA165,0,1
OA166,24,32
OA167,8,61
OA168,0,1
OA169,9,34
OA17,0,3
OA170,13,24
OA171,75,260
OA173,62,140
OA174,77,121
OA175,27,56
OA176,10,10
OA178,0,43
OA179,31,36
OA18,0,3
OA180,0,2
OA181,19,20
OA182,15,132
OA183,10,46
OA184,12,32
OA185,0,0
OA189,0,1
OA19,0,3
OA190,58,213
OA193,11,24
OA195,1,5
OA196,0,1
OA197,0,0
OA2,66,86
OA20,0,3
OA206,0,1
OA207,0,0
OA208,2,53
OA21,0,0
OA210,0,0
OA211,2,3
OA212,0,25
OA213,0,0
OA214,0,0
OA215,0,0
OA216,0,0
OA217,0,27
OA218,0,3
OA219,0,0
OA22,0,1
OA220,0,0
OA221,0,0
OA222,1,11
OA223,0,0
OA225,0,0
OA226,1,27
OA227,4,47
OA228,0,0
OA229,29,52
OA23,7,48
OA230,1,1
OA231,NA,NA
OA233,0,0
OA234,0,1
OA235,1,1
OA236,0,0
OA237,0,0
OA238,NA,NA
OA239,NA,NA
OA24,0,0
OA240,0,0
OA241,0,0
OA242,NA,NA
OA244,0,0
OA246,NA,NA
OA247,NA,NA
OA248,0,0
OA249,0,0
OA25,1,1
OA250,0,0
OA251,NA,NA
OA252,30,32
OA254,0,0
OA255,0,1
OA256,3,56
OA257,0,0
OA258,0,9
OA259,0,0
OA26,1,96
OA260,0,2
OA261,9,15
OA262,0,0
OA263,29,44
OA264,33,76
OA266,120,148
OA267,104,148
OA268,0,0
OA269,0,0
OA27,0,0
OA272,0,0
OA274,1,1
OA275,1,1
OA276,30,32
OA277,3,3
OA278,3,49
OA28,3,138
OA280,11,82
OA281,0,1
OA283,3,3
OA284,3,3
OA285,0,0
OA287,0,0
OA288,0,0
OA29,4,49
OA290,26,61
OA292,0,7
OA293,47,118
OA296,0,1
OA297,2,65
OA298,0,0
OA299,0,0
OA3,76,85
OA30,32,84
OA301,0,0
OA302,0,0
OA305,0,0
OA306,0,0
OA307,0,0
OA309,25,61
OA31,7,59
OA311,0,0
OA312,11,86
OA315,69,129
OA316,68,99
OA319,0,2
OA32,17,17
OA320,1,2
OA321,30,87
OA323,14,22
OA324,70,144
OA325,132,218
OA326,29,97
OA327,1,1
OA328,40,183
OA33,0,174
OA331,1,1
OA332,0,3
OA333,0,1
OA334,1,1
OA336,133,225
OA337,1,2
OA338,79,170
OA34,4,8
OA340,23,53
OA341,8,61
OA342,0,1
OA343,0,0
OA345,1,1
OA346,0,3
OA347,1,1
OA348,77,120
OA349,0,1
OA35,35,88
OA350,0,24
OA351,0,0
OA352,0,3
OA353,31,32
OA354,0,0
OA355,0,0
OA356,0,0
OA357,1,2
OA358,0,1
OA359,0,0
OA36,0,4
OA360,1,3
OA361,0,0
OA362,0,0
OA363,19,21
OA364,0,0
OA367,4,46
OA369,31,85
OA370,0,0
OA375,54,123
OA378,27,49
OA38,0,1
OA380,0,0
OA381,19,21
OA382,41,88
OA383,0,0
OA386,18,83
OA389,0,0
OA39,2,68
OA391,81,180
OA392,11,73
OA394,19,21
OA396,0,20
OA399,0,0
OA4,79,91
OA40,0,0
OA401,26,49
OA402,0,28
OA403,0,10
OA406,12,73
OA408,0,0
OA412,1,2
OA416,0,7
OA418,0,2
OA419,0,6
OA420,1,2
OA421,0,24
OA422,0,1
OA423,0,27
OA424,2,29
OA425,54,123
OA426,0,7
OA429,0,0
OA43,0,16
OA433,0,0
OA434,0,10
OA436,54,123
OA437,0,3
OA439,0,0
OA44,0,4
OA440,0,0
OA443,1,9
OA444,21,22
OA446,0,0
OA448,0,25
OA449,0,1
OA450,28,55
OA451,2,2
OA452,0,3
OA453,0,0
OA454,1,1
OA455,0,21
OA456,0,0
OA457,0,3
OA458,0,3
OA459,1,12
OA46,0,0
OA460,0,0
OA461,0,0
OA464,23,55
OA465,0,0
OA466,0,3
OA467,0,1
OA468,3,3
OA469,0,0
OA47,0,0
OA470,0,1
OA472,1,2
OA473,0,0
OA474,0,1
OA475,0,0
OA476,0,0
OA477,0,0
OA478,0,0
OA479,0,0
OA480,0,0
OA482,0,2
OA484,0,0
OA485,0,2
OA486,0,0
OA487,0,0
OA488,0,1
OA489,29,32
OA49,5,6
OA490,0,9
OA491,100,146
OA492,0,0
OA493,0,0
OA494,0,0
OA495,2,3
OA496,0,0
OA497,0,1
OA498,0,1
OA499,0,8
OA5,44,88
OA50,0,0
OA500,0,0
OA501,0,0
OA502,0,0
OA503,0,1
OA504,0,0
OA51,0,0
OA52,0,0
OA521,0,0
OA522,0,1
OA523,0,2
OA524,1,3
OA525,0,3
OA527,0,1
OA529,89,145
OA53,5,7
OA531,0,3
OA532,0,0
OA533,0,0
OA54,31,60
OA541,112,148
OA55,5,7
OA552,0,7
OA553,0,0
OA554,0,0
OA56,0,5
OA562,0,0
OA563,0,0
OA564,0,0
OA57,0,4
OA573,0,0
OA574,0,8
OA575,14,46
OA58,0,3
OA582,0,3
OA583,0,0
OA584,0,0
OA585,0,1
OA59,0,1
OA593,0,17
OA594,0,0
OA595,0,0
OA6,3,3
OA60,10,14
OA603,0,0
OA604,0,0
OA605,0,0
OA606,0,0
OA607,0,0
OA608,114,148
OA611,0,10
OA612,0,0
OA613,0,0
OA62,4,4
OA64,15,18
OA65,14,19
OA66,3,4
OA67,0,0
OA68,0,4
OA69,1,13
OA7,0,3
OA70,0,0
OA700,0,2
OA701,0,2
OA702,0,2
OA703,46,186
OA704,137,212
OA705,137,225
OA706,75,260
OA707,69,111
OA708,29,81
OA709,42,134
OA71,0,3
OA710,0,1
OA711,0,10
OA712,10,10
OA713,7,19
OA714,0,29
OA715,0,0
OA716,0,0
OA717,0,16
OA718,0,0
OA719,0,4
OA72,0,0
OA720,0,2
OA721,1,19
OA722,0,0
OA723,0,2
OA724,1,19
OA725,7,7
OA726,12,34
OA727,21,87
OA728,57,108
OA729,68,99
OA73,0,0
OA730,15,47
OA731,36,92
OA732,12,105
OA733,66,211
OA734,192,365
OA739,0,0
OA74,6,47
OA744,0,0
OA745,19,21
OA746,3,22
OA747,9,21
OA748,0,0
OA749,17,20
OA75,0,0
OA750,34,61
OA751,37,111
OA752,28,76
OA753,1,12
OA754,20,20
OA759,0,1
OA76,5,47
OA764,0,0
OA769,0,1
OA78,0,0
OA780,69,248
OA781,66,125
OA782,21,37
OA783,23,68
OA784,26,67
OA785,0,0
OA79,0,12
OA790,0,0
OA791,0,0
OA792,0,8
OA793,0,0
OA794,0,0
OA796,18,104
OA797,8,8
OA798,20,103
OA799,1,3
OA8,0,0
OA80,0,0
OA81,0,0
OA82,0,0
OA83,0,0
OA84,0,0
OA85,0,0
OA851,0,2
OA852,64,198
OA853,28,97
OA854,80,164
OA86,0,0
OA860,69,153
OA865,0,11
OA866,62,147
OA867,48,138
OA88,0,7
OA9,0,0
OA90,0,0
OA91,0,0
OA92,0,0
OA938,0,10
OA939,0,8
OA94,12,32
OA940,0,2
OA941,0,0
OA942,0,0
OA943,0,0
OA944,25,61
OA945,18,104
OA946,30,156
OA947,149,189
OA949,28,135
OA95,5,58
OA950,0,0
OA953,27,56
OA954,6,32
OA955,0,7
OA959,29,49
OA96,0,0
OA960,37,101
OA963,10,17
OA964,85,143
OA965,22,47
OA969,14,50
OA97,NA,NA
OA970,4,25
OA973,12,174
OA974,54,117
OA975,7,12
OA98,NA,NA
OA99,0,12
OA999,19,21
