CobleA,CobleB,CobleC,CobleM,CobleT,Fpeak,Stedmon_D,Optical_Brighteners,dieselBandII,Petroleum,Lignin,BIX,HIX,FI,M_to_C,JP5_empirical,JP5_normalized,Diesel_Chen,sample,run_name,sample_ID
0.016716225,0.060095142,0.015283222,0.017773032,0.029512387,0,0.008052856,0.012281226,0.006089872,0.021463514,0.049635441,0.705985466,1.243806993,1.555713355,1.162911279,1.924899464,0.084535826,7.870376836,Group001Sample0001,4.17.26,M30
0.025509555,0.114292819,0.023898379,0.027182785,0.061287049,0.013205882,0.012176828,0.020566072,0.009450855,0.032180029,0.057603648,0.711420127,0.855818369,1.62663131,1.137432173,4.039517121,0.109120418,15.00712133,Group001Sample0002,4.17.26,M264
0.038807982,0.035679154,0.037386754,0.040696916,0.027583929,0.022264709,0.017025445,0.031600311,0.01302801,0.046585683,0.063164411,0.747603992,1.572502426,1.540708814,1.088538367,1.724564401,0.035188424,13.86491431,Group001Sample0003,4.17.26,OA246
0.029527652,0.111358236,0.026358078,0.036981313,0.123567873,0.076329441,0.012380241,0.02182107,0.01025301,0.033080116,0.073038379,0.772506303,0.646139937,1.75905893,1.403035303,6.526426367,0.142862567,20.45839744,Group001Sample0004,4.17.26,M213
0.009565665,0.019941473,0.00966531,0.011123557,0.012844065,0,0.005402776,0.007920239,0.003994248,0.013673859,0.044354138,0.737629091,1.400725083,1.696034133,1.150874328,0.922852945,0.063958686,5.119714114,Group001Sample0006,4.17.26,OA287
0.045179381,0.055635598,0.042549417,0.048469379,0.032961453,0.030060818,0.019777878,0.035513266,0.015200915,0.052599885,0.047941234,0.714225966,1.621530877,1.60540462,1.139131457,2.207676932,0.040051655,15.59598208,Group001Sample0007,4.17.26,OA231
0.025112013,0.066213583,0.023087386,0.024829221,0.030996719,0.020003656,0.011779251,0.018393698,0.009245956,0.032370459,0.043359436,0.611562055,1.674702299,1.656136085,1.075445288,2.145596438,0.066442601,10.23818061,Group002Sample0001,4.17.26,M273
0.035994407,0.108082799,0.031643958,0.039658213,0.069119467,0.008158789,0.015212632,0.026836429,0.012021389,0.042698229,0.055162393,0.794299261,0.957017421,1.678108845,1.253263376,4.498874786,0.091393381,18.41036046,Group002Sample0002,4.17.26,M219
0.012166948,0.047532612,0.012082039,0.015511204,0.029709048,0.050567929,0.024052486,0.009762919,0.004908191,0.013077865,0.03372295,0.765897421,0.409996114,1.670690389,1.283823332,1.882807337,0.097426701,8.405378159,Group002Sample0003,4.17.26,M94
0.019574937,0.054361038,0.018929414,0.024256174,0.029258129,0.021042558,0.009651535,0.015626967,0.006911967,0.022311614,0.05591523,0.76106209,0.795983468,1.564509064,1.281401222,2.023813991,0.072502223,9.94642296,Group002Sample0004,4.17.26,M11
0.068311861,0.065565372,0.063434605,0.074017698,0.04387102,0.081979402,0.03062551,0.053475496,0.023397322,0.079581552,0.079887501,0.694640324,2.054866389,1.623711249,1.166834697,2.771135971,0.033723235,21.93610415,Group002Sample0005,4.17.26,OA239
0.028040653,0.040548441,0.025560971,0.030355786,0.037088253,0.014103873,0.012050349,0.020483586,0.010121467,0.031841551,0.045274939,0.642142138,2.190947609,1.742249133,1.18758346,2.040255086,0.055737188,11.792255,Group002Sample0006,4.17.26,OA367
0.010493974,0.041112872,0.009104497,0.014369815,0.035805601,0.040491122,0.004458928,0.007064707,0.003493501,0.011914829,0.02385952,0.85367332,0.354755945,1.60875896,1.57832058,2.160033974,0.116760672,9.044780146,Group002Sample0007,4.17.26,M216
0.076388247,0.018949181,0.070498596,0.080489346,0.042913397,0.039703505,0.034589326,0.056731371,0.02542784,0.095140431,0.073496152,0.723911834,5.887585678,1.511983492,1.141715576,1.924053019,0.02139562,20.26897413,Group003Sample0001,4.17.26,OA39
0.038800717,0.039014221,0.035981803,0.041216546,0.049660497,0.019168305,0.01859599,0.029132176,0.014108631,0.042150124,0.04885835,0.667423208,2.174310567,1.732864121,1.145483062,2.668946706,0.055990831,13.43554095,Group003Sample0002,4.17.26,OA181
0.040496746,0.024331639,0.041097623,0.041196798,0.036433504,0.022780916,0.021487598,0.032617154,0.016600196,0.052577321,0.028493864,0.752417463,3.281088927,1.546653095,1.002413161,1.865969352,0.035566434,13.12396035,Group003Sample0003,4.17.26,OA563
0.02246172,0.039361074,0.021294954,0.025960886,0.037969627,0.023189947,0.011781741,0.016760175,0.0089355,0.02521466,0.072862268,0.844952706,1.504169942,1.830058471,1.219109762,2.168756554,0.068367618,10.75131297,Group003Sample0004,4.17.26,OA358
0.008432716,0.040993181,0.008985855,0.013680366,0.021010969,0.094987145,0.003906207,0.007259243,0.003451359,0.0115001,0.027959939,0.885456625,0.379841973,1.983069401,1.522433473,1.414135308,0.09090731,6.878602298,Group003Sample0005,4.17.26,M96
0.036878766,0.158959945,0.035256218,0.043056877,0.170633923,0.036247982,0.016759606,0.027625782,0.012372669,0.04361156,0.112079956,0.855449113,0.882764935,1.679957156,1.221256274,7.942590683,0.131703849,26.39580828,Group003Sample0006,4.17.26,OA469
0.035060679,0.038731765,0.031406714,0.042758431,0.031196941,0.0714668,0.014599964,0.02651301,0.011496097,0.038086792,0.044411187,0.783673699,1.331167622,1.654658353,1.361442356,1.949905993,0.044170556,13.76403665,Group003Sample0007,4.17.26,OA242
0.032254514,0.073820089,0.028231556,0.034988534,0.046376205,0.077583042,0.01397589,0.02362098,0.011004175,0.036011586,0.109477543,0.736088129,0.957324458,1.583792091,1.239341322,2.846786775,0.066668284,15.53424457,Group004Sample0001,4.17.26,OA238
0.014476521,0.019297138,0.01572477,0.017131321,0.028440922,0.020196621,0.006993286,0.012279547,0.005208007,0.016398542,0.017912018,0.925818218,1.461820114,1.576868324,1.089448101,1.341188536,0.064339523,6.788552816,Group004Sample0002,4.17.26,OA611
0.018858935,0.020384772,0.01893935,0.021066697,0.026399738,0.009965905,0.009640167,0.015761431,0.007815267,0.022646427,0.040592676,0.8594303,2.131881,1.525679048,1.112324212,1.192176932,0.045470068,7.880325774,Group004Sample0003,4.17.26,OA541
0.041768872,0.044105266,0.039655896,0.044456489,0.03609386,0.025977084,0.019774067,0.034141032,0.016572811,0.04681136,0.050209905,0.67426771,2.705182545,1.562564897,1.121056216,1.924022818,0.036638667,13.8313887,Group004Sample0004,4.17.26,OA228
0.034454972,0.054121243,0.032553455,0.038989513,0.046526253,0.026118755,0.014485381,0.028024649,0.011181773,0.039587065,0.055064698,0.802495767,1.024224534,1.59615447,1.197707367,2.759114093,0.05983896,14.92281483,Group004Sample0005,4.17.26,M231
0.009180702,0.059024172,0.013914188,0.012981219,0.024197629,0.064495781,0.007196236,0.007846334,0.003097184,0.009135441,0.011838188,1.034400921,0.794072672,1.629612374,0.932948367,1.962282449,0.102661026,9.339602132,Group004Sample0006,4.17.26,M182
0.033927386,0.108953192,0.030900096,0.039625378,0.069853448,0.023645835,0.014631261,0.025403974,0.011487819,0.040115745,0,0.743636344,0.941610364,1.739075885,1.282370709,4.608750951,0.098980711,17.06329648,Group004Sample0007,4.17.26,M254
0.013924697,0.024451915,0.013992087,0.015386935,0.022969188,0.002704151,0.006813933,0.010766566,0.005589143,0.016881438,0,0.899121334,1.516333161,1.642558041,1.099688319,1.297671781,0.063372192,6.858515518,Group005Sample0001,4.17.26,OA50
0.024516517,0.046200118,0.024605014,0.029187362,0.047500814,0.082610901,0.010943149,0.018775633,0.008352734,0.029418046,0.002695455,0.785917006,0.786989039,1.600488517,1.18623637,2.694730264,0.075067566,12.95515051,Group005Sample0002,4.17.26,M176
0.033558258,0.027439222,0.033688549,0.041330145,0.043015793,0,0.016077962,0.026215053,0.012595698,0.041725607,0.043566957,0.829592642,2.214766459,1.602123072,1.226830648,2.129141802,0.048146064,12.16982696,Group005Sample0003,4.17.26,OA465
0.007566756,0.051072687,0.007160271,0.011769832,0.032222976,0.092176308,0.004183159,0.005188018,0.003411965,0.010306292,0.014120408,0.912993323,0.282769575,1.592286349,1.643769142,2.105831896,0.137407006,8.160886241,Group005Sample0004,4.17.26,M89
0.029455686,0.039598041,0.028446079,0.040350635,0.071966727,0.01196296,0.013472529,0.022163594,0.009629246,0.032815026,0.072912795,0.836641624,1.413134849,1.780956659,1.418495526,3.43231526,0.081854362,14.19116291,Group005Sample0005,4.17.26,OA608
0.032804051,0.07352616,0.031353842,0.042189713,0.088245081,0.069308639,0.014571824,0.026230003,0.011430588,0.038284263,0.078876956,0.825124021,0.702767816,1.688012385,1.345599469,4.605433973,0.09236808,19.60969514,Group005Sample0006,4.17.26,M217
