latitude,longitude,site_id
20.59861111,-156.4194444,SITE_0001
20.59888889,-156.4197222,SITE_0002
20.59916667,-156.4202778,SITE_0003
20.59944444,-156.4205556,SITE_0004
20.59972222,-156.4208333,SITE_0005
20.62833333,-156.4444444,SITE_0006
20.62944444,-156.4452778,SITE_0007
20.63138889,-156.4469444,SITE_0008
20.63361111,-156.4502778,SITE_0009
20.64555556,-156.4436111,SITE_0010
20.64638889,-156.4430556,SITE_0011
20.64805556,-156.4425,SITE_0012
20.65388889,-156.4411111,SITE_0013
20.66027778,-156.4416667,SITE_0014
20.6625,-156.4416667,SITE_0015
20.669722,-156.44305,SITE_0016
20.67138889,-156.4436111,SITE_0017
20.671404,-156.443487,SITE_0018
20.67527778,-156.4436111,SITE_0019
20.67555556,-156.4436111,SITE_0020
20.69138889,-156.4441667,SITE_0021
20.692628,-156.444085,SITE_0022
20.69555556,-156.4441667,SITE_0023
20.70220483,-156.445728,SITE_0024
20.704119,-156.446584,SITE_0025
20.70416667,-156.4463889,SITE_0026
20.707777,-156.446189,SITE_0027
20.71153583,-156.4461158,SITE_0028
20.7125,-156.4463889,SITE_0029
20.71544083,-156.4465628,SITE_0030
20.72055556,-156.4475,SITE_0031
20.7275,-156.45,SITE_0032
20.72833333,-156.4502778,SITE_0033
20.72861111,-156.4508333,SITE_0034
20.73122,-156.453877,SITE_0035
20.73138889,-156.4538889,SITE_0036
20.7341,-156.9374333,SITE_0037
20.7346,-156.9105833,SITE_0038
20.73805556,-156.8927778,SITE_0039
20.73888889,-156.8933333,SITE_0040
20.73944444,-156.8941667,SITE_0041
20.73972222,-156.4566667,SITE_0042
20.739792,-156.456671,SITE_0043
20.74194444,-156.8880556,SITE_0044
20.74333333,-156.8875,SITE_0045
20.74356783,-156.457455,SITE_0046
20.74361111,-156.4575,SITE_0047
20.74583333,-156.4577778,SITE_0048
20.74588583,-156.4575638,SITE_0049
20.74722222,-156.4580556,SITE_0050
20.74743333,-156.97925,SITE_0051
20.74833333,-156.4577778,SITE_0052
20.75194444,-156.46,SITE_0053
20.75333333,-156.46,SITE_0054
20.755277,-156.4594,SITE_0055
20.75555556,-156.4594444,SITE_0056
20.7556,-156.4568661,SITE_0057
20.7575,-156.4597222,SITE_0058
20.75861111,-156.46,SITE_0059
20.75868,-156.45987,SITE_0060
20.75916667,-156.46,SITE_0061
20.76083333,-156.46,SITE_0062
20.76156,-156.45988,SITE_0063
20.761579,-156.459757,SITE_0064
20.76194444,-156.4597222,SITE_0065
20.76376,-156.45931,SITE_0066
20.76444444,-156.4594444,SITE_0067
20.76461783,-156.459189,SITE_0068
20.76527778,-156.4588889,SITE_0069
20.76583333,-156.4594444,SITE_0070
20.770177,-156.459346,SITE_0071
20.77028,-156.45942,SITE_0072
20.77373333,-156.9939167,SITE_0073
20.77397,-156.46053,SITE_0074
20.78114,-156.46292,SITE_0075
20.78138889,-156.4630556,SITE_0076
20.78194444,-156.4638889,SITE_0077
20.78222222,-156.4641667,SITE_0078
20.7823,-156.46397,SITE_0079
20.782384,-156.4640268,SITE_0080
20.78305556,-156.465,SITE_0081
20.78381,-156.46568,SITE_0082
20.78416667,-156.4661111,SITE_0083
20.785,-156.4677778,SITE_0084
20.78611111,-156.4686111,SITE_0085
20.7864,-156.99209,SITE_0086
20.78668,-156.99229,SITE_0087
20.78722222,-156.47,SITE_0088
20.787827,-156.47073,SITE_0089
20.78888889,-156.4719444,SITE_0090
20.78905,-156.9936667,SITE_0091
20.78944444,-156.4741667,SITE_0092
20.79111111,-156.4775,SITE_0093
20.7925,-156.4802778,SITE_0094
20.79272,-156.50906,SITE_0095
20.79305556,-156.5688889,SITE_0096
20.79333333,-156.5725,SITE_0097
20.79361111,-156.5738889,SITE_0098
20.79361111,-156.4819444,SITE_0099
20.79388889,-156.5747222,SITE_0100
20.79416667,-156.4836111,SITE_0101
20.79472222,-156.5819444,SITE_0102
20.79527778,-156.5833333,SITE_0103
20.79561,-156.48709,SITE_0104
20.79564283,-156.486952,SITE_0105
20.7957,-156.50561,SITE_0106
20.79583333,-156.5844444,SITE_0107
20.79585,-156.48973,SITE_0108
20.79611111,-156.5855556,SITE_0109
20.79624,-156.50398,SITE_0110
20.7966,-156.50176,SITE_0111
20.7966982,-156.5862323,SITE_0112
20.79688,-156.49351,SITE_0113
20.79694444,-156.5869444,SITE_0114
20.79723,-156.49644,SITE_0115
20.80583333,-156.5994444,SITE_0116
20.80694444,-156.6013889,SITE_0117
20.8075,-156.6025,SITE_0118
20.80888889,-156.6233333,SITE_0119
20.80888889,-156.605,SITE_0120
20.80916667,-156.6222222,SITE_0121
20.80944444,-156.6225,SITE_0122
20.80972222,-156.6072222,SITE_0123
20.80972222,-156.6016667,SITE_0124
20.81,-156.6086111,SITE_0125
20.81027778,-156.6108333,SITE_0126
20.82388889,-156.6313889,SITE_0127
20.82888889,-156.6363889,SITE_0128
20.83555556,-156.6480556,SITE_0129
20.8425,-156.6527778,SITE_0130
20.848969,-156.657038,SITE_0131
20.85972222,-156.6697222,SITE_0132
20.865,-156.6738889,SITE_0133
20.86694444,-156.6755556,SITE_0134
20.86861111,-156.6766667,SITE_0135
20.880379,-156.685413,SITE_0136
20.88138889,-156.6869444,SITE_0137
