sample_ID,Salinity_raw,offset,Salinity,NO3+NO2 (umol/L),NO2 (umol/L),PO4 (umol/L),SiO2 (umol/L),NH3 (umol/L),rerun,
M268,33.461,0.667,34.128,1.133,0,0.267,3.949,,,
M264,33.743,0.667,34.41,2.378,0.108,0.147,2.905,,,
OA251,33.778,0.667,34.445,1.055,0.108,0.092,7.021,,,
M242,33.664,0.667,34.331,1.957,0.106,0.099,4.545,,,
M212,33.668,0.667,34.335,0.804,0.086,0.204,9.95,,,
M220,33.873,0.667,34.54,1.579,0.096,0.096,4.127,,,
M230,33.799,0.667,34.466,1.28,0.077,0.294,3.097,,,
M142,27.583,0.667,28.25,28.0899,<0.07,0.5293,61.7807,5.033,,y
M143,32.985,0.667,33.652,16.0953,0.118,0.1686,4.9971,0.5798,,y
M89,31.937,0.667,32.604,1.056,0,0.084,2.632,,,
M125,28.907,0.667,29.574,,2.8666,4.7821,,20.7763,,Y
M148,33.384,0.667,34.051,6.543,0.129,0,4.003,,,
M135,27.72,0.667,28.387,0.69,0,0.136,2.399,,,
M11,32.854,0.667,33.521,1.753,0,0.083,5.176,,,
M56,27.544,0.667,28.211,0.863,0,0.223,7.015,,,
M179,28.363,0.667,29.03,4.7013,<0.07,0.1597,17.5865,0.3574,,
M94,26.823,0.667,27.49,0.814,0,0.185,16.808,,,
M73,33.07,0.667,33.737,3.062,0,0.376,22.31,,,
M199,32.298,0.667,32.965,8.55,0,0.245,31.067,,,
M88,30.468,0.667,31.135,4,0.075,0.39,34.095,,,
M104,32.217,0.667,32.884,2.98,0,0.196,15.303,,,
M41,31.742,0.667,32.409,6.583,0.158,0.408,40.839,,,
M93,29.464,0.667,30.131,14.7745,<0.07,0.2605,7.5722,1.8605,,Y
M121,27.92,0.667,28.587,0.674,0,0.114,8.903,,,
M23,29.187,0.667,29.854,8.329,0,0.183,28.741,,,
M26,30.889,0.667,31.556,3.173,0.321,0.366,83.732,,,
M30,26.56,0.667,27.227,0.258,0,0.094,2.773,,,
M176,32.353,0.667,33.02,1.65,0,0,4.244,,,
M123,33.693,0.667,34.36,0.676,0,0.135,5.272,,,
M181,32.915,0.667,33.582,2.719,0,0.177,21.036,,,
M58,30.634,0.667,31.301,0.205,0,0.17,2.854,,,
M32,33.671,0.667,34.338,0.287,0,0.073,4.377,,,
M183,33.296,0.667,33.963,2.994,0,0.096,9.914,,,
M1,29.05,0.667,29.717,0.383,0,0.154,3.528,,,
M46,29.081,0.667,29.748,,0.339,0.701,82.601,,,Y
M182,26.134,0.667,26.801,0.933,0,0.129,7.454,,,
M96,32.218,0.667,32.885,1.333,0,0.151,9.827,,,
M43,30.434,0.667,31.101,7.219,0.126,0.448,60.425,,,
M95,32.598,0.667,33.265,1.492,0,0.153,11.429,,,
M98,28.641,0.667,29.308,0.518,0,0.162,20.769,,,
M150,32.456,0.667,33.123,0.428,0,0.122,15.066,,,
M126,33.384,0.667,34.051,1.769,0,0.189,14.391,,,
OA247,33.805,0.667,34.472,1.494,0.096,0.114,11.271,,,
OA242,33.574,0.667,34.241,1.295,0.12,0.552,4.39,,,
OA245,33.801,0.667,34.468,1.157,0.092,0.121,9.091,,,
OA246,33.607,0.667,34.274,1.009,0.106,0.171,3.303,,,
OA231,33.699,0.667,34.366,1.107,0.095,0.191,3.76,,,
OA98,33.861,0.667,34.528,0.667,0.08,0.081,3.631,,,
OA238,33.773,0.667,34.44,0.288,0,0.092,2.638,,,
OA239,33.533,0.667,34.2,3.205,0.19,0.333,11.656,,,
OA97,33.675,0.667,34.342,2.301,0.115,0.171,6.406,,,
OA17,33.74,0,33.74,1.081,0,0.0951,3.1068,0.1905,4/13/2026,y
OA18,33.6,0,33.6,0.65,0,0,2.6232,0.9217,4/13/2026,y
OA19,31.88,0,31.88,1.496,0,0.0842,3.6725,0.3355,4/13/2026,y
OA20,31.94,0,31.94,1.561,0.0773,0.0766,2.5728,0.4564,4/13/2026,y
OA81,20.2,0,20.2,1.1679,0,0,0.3641,0.4787,4/13/2026,y
OA83,36.53,0,36.53,0.457,0,0,2.9481,0.9605,4/13/2026,y
OA88,20.58,0,20.58,0.202,0,1.8719,31.2715,1.1833,4/13/2026,y
OA96,32.75,0,32.75,8.06,0.2151,0.2982,34.4529,0.8201,4/13/2026,y
OA99,20.4,0,20.4,0.1365,0,0.2459,27.2946,1.0177,4/13/2026,y
OA100,34.87,0,34.87,1.906,0.0877,0.1394,35.028,1.3146,4/13/2026,y
OA101,35.73,0,35.73,4.978,0,0,15.1251,0.5996,4/13/2026,y
OA160,36.83,0,36.83,0.338,0,0,0.1624,0.2741,4/13/2026,y
OA162,36.89,0,36.89,,,,,,4/13/2026,y
OA164,35.84,0,35.84,2.685,0.1205,0,10.1214,0.3573,4/13/2026,y
OA165,34.87,0,34.87,0.266,0,0.0787,12.0071,0.3183,4/13/2026,y
OA166,32.49,0,32.49,1.264,0,0,5.6423,0.5682,4/13/2026,y
OA167,34.52,0,34.52,0.439,0,0,0,0.1297,4/13/2026,y
OA168,32.54,0,32.54,0.198,0,0,5.1214,,4/13/2026,y
OA169,27.03,0,27.03,2.313,0,0,3.8293,0.7329,4/13/2026,y
OA170,35.29,0,35.29,2.016,0,0.1062,31.9212,0.1541,4/13/2026,y
OA370,25.4,0,25.4,0.478,0,0.0873,0.5993,0.3534,4/13/2026,y
OA375,22.93,0,22.93,0.271,0,0,0.4985,0.1614,4/13/2026,y
OA401,24.96,0,24.96,0.916,0,0.1268,6.5403,0.4133,4/13/2026,y
OA402,26.75,0,26.75,0.384,0,0,0,0.3121,4/13/2026,y
OA422,35.74,0,35.74,0.267,0,0.2449,3.0246,1.1661,4/13/2026,y
OA424,26.91,0,26.91,0.114,0,0,0,0.3667,4/13/2026,y
OA425,25.75,0,25.75,0.3893,0,0.1194,0.1848,1.1123,4/13/2026,y
OA429,26.2,0,26.2,0.2258,0,0,0,0.5401,4/13/2026,y
OA436,32.9,0,32.9,0.9291,0,0.0719,1.7345,0.6768,4/13/2026,y
OA443,19.94,0,19.94,0.1128,0,0,0,0.3415,4/13/2026,y
OA461,28.85,0,28.85,0.6297,0,0,0,0.257,4/13/2026,y
OA493,24.16,0,24.16,0.1969,0,0,1.5889,0.3329,4/13/2026,y
OA498,22.62,0,22.62,0.9289,0.0878,0.0777,0.7954,0.4673,4/13/2026,y
OA529,19.56,0,19.56,1.1051,0,0,5.857,0.4183,4/13/2026,y
OA531,27.06,0,27.06,,,,,,4/13/2026,y
OA171,35.1,0.66,35.76,0.339,0,0.1047,0.5216,0.3213,4/20/2026,Y
OA174,34.58,0.66,35.24,,0.1246,0.2546,22.8527,0.4061,4/20/2026,Y
OA175,37.06,0.66,37.72,1.439,0,0.0931,5.1968,0.3075,4/20/2026,Y
OA176,29.54,0.66,30.2,58.584,0.1503,0.5874,4.4135,0.5872,4/20/2026,Y
OA178,31.96,0.66,32.62,,0.3497,2.4425,60.714,5.6713,4/20/2026,Y
OA180,33.78,0.66,34.44,0.545,0,0.1439,25.2176,0.6971,4/20/2026,Y
OA182,34.91,0.66,35.57,10.049,0,0.2235,11.3294,0.6163,4/20/2026,Y
OA183,35.1,0.66,35.76,0.83,0,0.1622,11.3049,0.443,4/20/2026,Y
OA184,31.74,0.66,32.4,26.339,0.0763,1.0557,34.1294,0.5899,4/20/2026,Y
OA185,36.67,0.66,37.33,2.422,0.0885,0.2719,6.1175,0.3769,4/20/2026,Y
OA189,36.43,0.66,37.09,0.126,0,0,<0.01,0.1829,4/20/2026,Y
OA190,36.26,0.66,36.92,0.796,0,0,3.135,0.1326,4/20/2026,Y
OA193,35.23,0.66,35.89,0.883,0,0.0728,10.6402,0.2025,4/20/2026,Y
OA195,33.44,0.66,34.1,0.329,0,0.1742,17.2003,0.2959,4/20/2026,Y
OA196,27.34,0.66,28,0.422,0,0.6243,37.656,0.2529,4/20/2026,Y
OA209,35.04,0.66,35.7,0.0967,0,<0.07,0.6524,2.4122,4/20/2026,Y
OA210,36.42,0.66,37.08,0.997,0,0.1028,2.2576,0.1859,4/20/2026,Y
OA212,36.51,0.66,37.17,2.221,0,0.1202,0.8548,0.2134,4/20/2026,Y
OA213,36.42,0.66,37.08,1.78,0,0.1577,0.3879,0.2087,4/20/2026,Y
OA226,35.37,0.66,36.03,2.857,0.1163,0.3841,5.4698,2.2883,4/20/2026,Y
OA227,36.89,0.66,37.55,0.605,0,0,0,0.1507,4/20/2026,Y
OA252,37.37,0.66,38.03,0.134,0,0,0,0.0905,4/20/2026,Y
OA257,36.96,0.66,37.62,3.914,0,0.2924,75.4232,2.6434,4/20/2026,Y
OA258,36.38,0.66,37.04,0.4841,0,0.1186,0.4349,0.6049,4/20/2026,Y
OA259,23.65,0.66,24.31,23.5024,0,0.3573,16.127,1.1031,4/20/2026,Y
OA260,37.26,0.66,37.92,0.1785,0,0,1.5421,0.2659,4/20/2026,Y
OA266,32.83,0.66,33.49,5.1743,0.074,0.8526,1.8358,0.4468,4/20/2026,Y
OA274,36.68,0.66,37.34,0.0849,0,0,0,0.0971,4/20/2026,Y
OA275,35.81,0.66,36.47,0.1719,0,0.0701,2.3499,0.2193,4/20/2026,Y
OA276,36.68,0.66,37.34,0.6807,0,0.158,3.9221,0.2152,4/20/2026,Y
OA277,36.66,0.66,37.32,0.1654,0,0,0.8228,0.1834,4/20/2026,Y
OA278,37.1,0.66,37.76,0.1488,0,0,0,0.1919,4/20/2026,Y
OA279,36.37,0.66,37.03,0.4578,0,0,1.1109,0.1771,4/20/2026,Y
OA280,36.85,0.66,37.51,4.8799,0,0.2073,1.1862,0.9083,4/20/2026,Y
OA283,34.78,0.66,35.44,0.6006,0,0.0939,0.305,0.3544,4/20/2026,Y
OA285,35.74,0.66,36.4,3.2601,0,0.0969,11.8415,0.2036,4/20/2026,Y
OA288,36.9,0.66,37.56,1.0223,0,0.1543,2.2557,0.5479,4/20/2026,Y
OA290,35.86,0.66,36.52,0.2689,0,0,0.4406,0.278,4/20/2026,Y
OA292,35.93,0.66,36.59,0.3658,0,0,1.3538,0.2676,4/20/2026,Y
OA293,37.84,0.66,38.5,0.2879,0,0.1135,10.949,0.1807,4/20/2026,Y
OA298,33.35,0.66,34.01,0.767,0,1.4274,14.4512,5.6004,4/20/2026,Y
OA299,37.09,0.66,37.75,0.3382,0,0,0,0.9806,4/20/2026,Y
OA301,33.72,0.66,34.38,1.9526,0,0.089,2.267,0.3591,4/20/2026,Y
OA302,37.02,0.66,37.68,0.7362,0,0.1307,5.6638,0.9539,4/20/2026,Y
OA309,36.19,0.66,36.85,0.275,0,0,0,0.4787,4/20/2026,Y
OA312,37.83,0.66,38.49,0.7265,0,0.2113,0,1.4791,4/20/2026,Y
OA315,37.54,0.66,38.2,1.2412,0,0.2856,0.2071,1.6451,4/20/2026,Y
OA316,37.11,0.66,37.77,3.0031,0,0.2555,8.6293,3.469,4/20/2026,Y
OA82,35.11,0.66,35.77,0.2701,0,0.0931,0.0346,0.8143,4/27/2026,
OA84,34.99,0.66,35.65,0.4421,0,0.2051,1.345,1.4631,4/27/2026,
OA85,35.08,0.66,35.74,0.762,0,0.4669,0.9495,2.2373,4/27/2026,
OA86,34.88,0.66,35.54,0.1338,0,0.0775,0,1.3873,4/27/2026,
OA223,34.77,0.66,35.43,0.2661,0,0.0909,0,1.0807,4/27/2026,
OA225,34.78,0.66,35.44,0.2641,0,0.0791,0,1.5121,4/27/2026,
OA233,34.75,0.66,35.41,0.4902,0,0.2026,2.5186,1.7097,4/27/2026,
OA236,34.87,0.66,35.53,0.1533,0,0.0791,0,2.2007,4/27/2026,
OA237,34.83,0.66,35.49,0.3188,0,0.1262,1.252,0.7634,4/27/2026,
OA240,34.71,0.66,35.37,0.1799,0,0.0704,0.328,1.1553,4/27/2026,
OA241,33.16,0.66,33.82,7.299,0.142,0.1055,42.41,2.6176,4/27/2026,
OA244,34.71,0.66,35.37,0.3205,0,0.075,0,1.6914,4/27/2026,
OA248,34.74,0.66,35.4,0.3742,0,0.1332,1.6457,0.7176,4/27/2026,
OA249,34.67,0.66,35.33,0.1426,0,0.0859,0,1.559,4/27/2026,
OA250,34.66,0.66,35.32,0.1979,0,0,0,1.0472,4/27/2026,
OA268,34.84,0.66,35.5,0.1785,0,0,0,1.5899,4/27/2026,
OA269,34.86,0.66,35.52,0.6013,0,0.1255,5.3598,1.565,4/27/2026,
OA305,34.82,0.66,35.48,0.4479,0,0.1386,1.2229,1.1863,4/27/2026,
OA306,34.66,0.66,35.32,0.5279,0,0.1305,4.0586,1.5358,4/27/2026,
OA307,34.93,0.66,35.59,0.2838,0,0.1177,0,0.9847,4/27/2026,
MK11,34.89,0.66,35.55,1.8496,0.1091,0.2392,11.6818,4.0238,4/27/2026,
MK12,35.35,0.66,36.01,0.5332,0,0.1291,4.7948,1.138,4/27/2026,
MK13,34.86,0.66,35.52,1.6611,0.118,0.2001,4.6891,1.6127,4/27/2026,
MK15,34.98,0.66,35.64,0.5412,0,0.2575,2.0156,1.2078,4/27/2026,
MK17,34.62,0.66,35.28,3.2874,0.1505,0.2801,16.4967,1.891,4/27/2026,
MK18,34.73,0.66,35.39,1.5526,0.1063,0.163,11.9935,2.1267,4/27/2026,
MK21,34.82,0.66,35.48,0.618,0,0.1637,3.1,1.5067,4/27/2026,
MK22,35.26,0.66,35.92,1.0758,0.0923,0.135,1.6675,2.3964,4/27/2026,
MK24,15.84,0.66,16.5,1.5108,0,0.1907,33.5438,0.7084,4/27/2026,
MK25,31.34,0.66,32,0.9099,0,0.191,12.9047,0.5816,4/27/2026,
MK26,34.68,0.66,35.34,0.9068,0,0.2298,3.4171,1.6346,4/27/2026,
MK27,34.53,0.66,35.19,1.0432,0,0.2152,2.5405,2.3763,4/27/2026,
MK28,28.47,0.66,29.13,0.893,0,0.3831,7.6506,4.8316,4/27/2026,
MK29,35.05,0.66,35.71,0.2994,0,0.1468,0,1.2397,4/27/2026,
MK30,34.66,0.66,35.32,1.419,0,0.2157,5.1265,1.9354,4/27/2026,
MK31,35.28,0.66,35.94,,,,,,4/27/2026,
M167,20.97,0.66,21.63,4.8363,0.1628,1.1936,,2.1932,4/27/2026,Y
M211,27.36,0.66,28.02,,,,,,4/27/2026,
M240,31.64,0.66,32.3,,,,,,4/27/2026,
M249,30.33,0.66,30.99,,,,,,4/27/2026,
M252,26.74,0.66,27.4,11.0522,0.1365,1.4775,161.429,10.6599,4/27/2026,Y
M253,20.17,0.66,20.83,3.8497,0.1392,0.7396,43.8224,4.1209,4/27/2026,
M265,32.44,0.66,33.1,0.6181,0,1.1147,31.3387,3.3878,4/27/2026,
M292,10.17,0.66,10.83,1.9235,0,0.3782,28.5576,4.6707,4/27/2026,
M296,29.98,0.66,30.64,3.1659,0.2103,0.8524,57.5215,6.6452,4/27/2026,Y
M8,34.84,0.669,35.509,1.393,0,0.2236,1.2125,1.2466,4/29/2026,
M13,32.69,0.669,33.359,1.213,0,0.1349,3.5938,0.7111,4/29/2026,
M27,31.6,0.669,32.269,79.281,0.6071,0.6862,17.7659,0,4/29/2026,Y
M29,27.26,0.669,27.929,1.275,0,0.3445,21.8845,3.5459,4/29/2026,
M37,31.59,0.669,32.259,0.642,0,0.1417,30.475,1.4083,4/29/2026,
M39,23.33,0.669,23.999,2.427,0,0.3059,57.3618,2.9265,4/29/2026,
M44,27.3,0.669,27.969,5.353,0.1012,0.285,23.4929,2.1896,4/29/2026,
M45,32.02,0.669,32.689,10.442,0.169,0.7016,56.0851,0.8896,4/29/2026,Y
M49,29.02,0.669,29.689,1.074,0,0.1722,27.3113,1.6439,4/29/2026,
M57,35.37,0.669,36.039,0.593,0,0.1505,2.4003,2.0411,4/29/2026,
M59,34.48,0.669,35.149,6.54,0.2013,0.3271,11.5618,1.0339,4/29/2026,
M62,33.96,0.669,34.629,1.36,0,0.3658,6.9554,4.866,4/29/2026,
M69,31.46,0.669,32.129,5.398,0.0836,0.2782,34.3543,1.411,4/29/2026,
M101,29.11,0.669,29.779,2.013,0,0.1858,9.2396,0.6538,4/29/2026,
M106,35.21,0.669,35.879,0.828,0,0.1151,3.038,0.4664,4/29/2026,
M127,33.24,0.669,33.909,0.934,0,0.2391,4.6769,2.446,4/29/2026,
M189,35.05,0.669,35.719,0.893,0,0.3687,7.5721,0.7316,4/29/2026,
M18,35.11,0.669,35.779,0.809,0,0,2.5907,0.5218,4/29/2026,
M19,29.97,0.669,30.639,5.241,0,0.287,15.6905,1.1235,4/29/2026,
M24,33.57,0.669,34.239,0.44,0,0.2408,1.9777,0.3573,4/29/2026,
M28,33.7,0.669,34.369,2.961,0.0809,0.22,13.0085,2.8562,4/29/2026,
M35,35.31,0.669,35.979,1.314,0,0.0837,1.7607,0.5782,4/29/2026,
M47,32.31,0.669,32.979,11.7413,0,0.4342,28.0452,0.531,4/29/2026,Y
M50,32.49,0.669,33.159,12.6975,0,0.4414,46.1368,0.5616,4/29/2026,Y
M68,34.75,0.669,35.419,2.3677,0,0.3318,8.6362,1.3919,4/29/2026,
M75,34.47,0.669,35.139,2.2778,0,0.0783,15.1233,1.0321,4/29/2026,
M78,33.86,0.669,34.529,1.042,0,0.0993,6.3025,0.6716,4/29/2026,
M83,33.91,0.669,34.579,1.9672,0.0787,0.1335,7.6045,1.1571,4/29/2026,
M87,31.27,0.669,31.939,17.7294,0.0906,0.8144,85.6593,0.7386,4/29/2026,Y
M92,28.8,0.669,29.469,1.1211,0,0.2439,10.6139,5.4061,4/29/2026,
M99,34.88,0.669,35.549,1.3472,0,0.2124,6.6756,0.7758,4/29/2026,
M103,34.68,0.669,35.349,1.6944,0,0.2533,11.9273,0.6761,4/29/2026,
M113,34.71,0.669,35.379,0.9309,0,0.1327,3.0741,0.1767,4/29/2026,
M114,35.01,0.669,35.679,1.8269,0,0.2086,5.4573,0.9507,4/29/2026,
M115,32.1,0.669,32.769,12.4571,0.0964,0.5682,63.5342,0.7124,4/29/2026,Y
M132,34.6,0.669,35.269,0.8788,0,0.1118,6.272,0.4667,4/29/2026,
M136,34.66,0.669,35.329,1.5507,0,0.105,8.3849,0.1181,4/29/2026,
M147,31.86,0.669,32.529,12.3303,0.1259,0.2943,54.8397,0.2266,4/29/2026,
M151,34.93,0.669,35.599,0.9368,0,0.0999,3.5671,0.3767,4/29/2026,
M153,34.65,0.669,35.319,2.4011,0,0,3.1179,1.5198,4/29/2026,
M155,32.18,0.669,32.849,18.053,0.176,0.8838,106.5632,1.6616,4/29/2026,Y
M172,32.44,0.669,33.109,4.0378,0.1135,0.4338,19.2291,6.6632,4/29/2026,
M177,28.13,0.669,28.799,1.2044,0,0.2322,11.9939,2.4761,4/29/2026,
M180,34.02,0.669,34.689,30.8363,0.235,0.5886,9.1206,0.7625,4/29/2026,Y
M193,34.25,0.669,34.919,4.1359,0,0.1352,30.7833,0.2547,4/29/2026,
M194,34.78,0.669,35.449,0.1103,0,0,0,0.248,4/29/2026,
M201,31.95,0.669,32.619,8.1553,0,0.3722,21.1318,1.2116,4/29/2026,Y
OA319,32.86,0.669,33.529,0.5939,0,0.28,19.0673,0.4927,4/29/2026,
OA320,32.5,0.669,33.169,0.3473,0,0.4417,11.0308,0.1343,4/29/2026,
OA321,34.84,0.669,35.509,1.0474,0,0.0721,2.4517,0,4/29/2026,
OA324,34.98,0.669,35.649,0.9185,0,0,4.2086,0,4/29/2026,
OA325,31.3,0.669,31.969,19.0065,0.0787,0.8777,114.8437,0.4414,4/29/2026,Y
OA326,34.75,0.669,35.419,2.0868,0,0.1084,9.0663,0.1526,4/29/2026,
OA327,35.09,0.669,35.759,0.8276,0,0.0963,2.4669,0.1073,4/29/2026,
OA328,35.11,0.669,35.779,0.2774,0,0,2.5145,0.7668,4/29/2026,
OA331,34.32,0.669,34.989,3.6251,0,0.0946,7.4826,0,4/29/2026,
OA332,34.65,0.669,35.319,0.4404,0,0,2.2918,0,4/29/2026,
OA333,34.12,0.669,34.789,11.3295,0,0.378,12.0896,0,4/29/2026,Y
OA334,34.18,0.669,34.849,2.0222,0,0.1036,7.022,0,4/29/2026,
OA336,35.17,0.669,35.839,0.3953,0,0,1.2887,0.4152,4/29/2026,
OA337,13.28,0,13.28,0.473,0,0.0966,4.8116,0.1795,5/1/2026,Y
OA338,5.8,0,5.8,67.443,0.38,4.2606,493.2083,0,5/1/2026,Y
OA340,38.07,0,38.07,0.584,0,0.1948,2.8462,0,5/1/2026,Y
OA341,34.65,0,34.65,0.628,0,0,0.0924,0.1907,5/1/2026,Y
OA342,34.47,0,34.47,0.538,0,0,4.8134,0,5/1/2026,Y
OA343,13.21,0,13.21,1.155,0,0.076,0.2791,0.2817,5/1/2026,Y
OA345,33.9,0,33.9,2.378,0,0.1206,8.476,0.1805,5/1/2026,Y
OA346,24.25,0,24.25,0.57,0,0.1038,3.1117,0,5/1/2026,Y
OA347,34.11,0,34.11,2.437,0,0.1312,7.6242,0.1082,5/1/2026,Y
OA349,34.13,0,34.13,7.022,0,0.1126,9.9475,0.1316,5/1/2026,Y
OA350,20.66,0,20.66,1.251,0,0.1329,0.5944,0.1152,5/1/2026,Y
OA351,34.74,0,34.74,0.501,0,0.1074,6.0149,0.3149,5/1/2026,Y
OA352,34.68,0,34.68,0.361,0,0,0.6343,0.1541,5/1/2026,Y
OA353,34.51,0,34.51,0.574,0,0,1.9663,0,5/1/2026,Y
OA354,34.81,0,34.81,1.648,0,0.1131,3.2421,0.1523,5/1/2026,Y
OA355,34.89,0,34.89,1.265,0,0.1435,2.7148,0.1514,5/1/2026,Y
OA356,34.53,0,34.53,3.801,0,0.1072,6.3937,0,5/1/2026,Y
OA357,33.92,0,33.92,2.364,0.0908,0.093,14.0994,0.4634,5/1/2026,Y
OA359,33.66,0,33.66,0.343,0,0,0.3026,0,5/1/2026,Y
OA360,33.87,0,33.87,1.481,0,0.0718,16.2107,0.8296,5/1/2026,Y
OA361,33.24,0,33.24,0.611,0,0,0.9677,0,5/1/2026,Y
OA362,33.38,0,33.38,0.848,0,0,9.9149,0.2115,5/1/2026,Y
OA364,33.24,0,33.24,2.4711,0,0.3493,3.9942,0.0829,5/1/2026,Y
OA369,34.22,0,34.22,0.9272,0,0.2944,12.9251,0.7213,5/1/2026,Y
OA378,34.15,0,34.15,1.1936,0,0.0805,19.0995,0.1416,5/1/2026,Y
OA380,35.21,0,35.21,0.8094,0,0.1557,4.6249,0,5/1/2026,Y
OA382,34.65,0,34.65,2.3902,0,0.1021,10.9153,0,5/1/2026,Y
OA383,33.69,0,33.69,0.6135,0,0.3373,5.5002,0.1651,5/1/2026,Y
OA389,34.31,0,34.31,1.4533,0,0.1285,23.1789,0.486,5/1/2026,Y
OA391,33.39,0,33.39,7.17,0.1001,1.3258,17.0172,0.2959,5/1/2026,Y
OA392,35.25,0,35.25,0.6496,0,0.1155,4.3204,0.1614,5/1/2026,Y
OA396,1.5,0,1.5,137.357,0.819,1.9407,291.9827,0,5/1/2026,Y
OA399,33.99,0,33.99,1.0002,0,2.251,5.3879,0.0986,5/1/2026,Y
OA412,19.43,0,19.43,0.6756,0,0.2768,1.6745,0.1718,5/1/2026,Y
OA416,18.48,0,18.48,0.396,0,0.2409,45.0728,0.3448,5/1/2026,Y
OA418,30.68,0,30.68,13.717,0.323,0.4123,39.138,0.2576,5/1/2026,Y
OA421,34.91,0,34.91,13.207,0.0835,0.4782,13.1931,0.1233,5/1/2026,Y
OA423,34.64,0,34.64,0.5393,0,0.1105,1.9029,0.1155,5/1/2026,Y
OA433,33.95,0,33.95,0.6724,0,0.1167,2.4157,0.3775,5/1/2026,Y
OA439,33.7,0,33.7,0.6067,0,0.7302,5.1939,0.1017,5/1/2026,Y
OA440,34.76,0,34.76,0.5826,0,0,3.987,0.1687,5/1/2026,Y
OA444,24.12,0,24.12,0.4208,0,0.1183,17.4449,0.3171,5/1/2026,Y
OA446,34.72,0,34.72,0.3856,0,0.1665,3.0519,0.1199,5/1/2026,Y
OA447,34.91,0,34.91,0.4079,0,0.3686,4.1591,0,5/1/2026,Y
OA448,34.74,0,34.74,1.9376,0,0.1559,0.4748,0.4802,5/1/2026,Y
OA449,33.07,0,33.07,0.5584,0,0.3844,1.2631,0.2591,5/1/2026,Y
OA450,34.83,0,34.83,0.5773,0,0.3607,1.8123,0,5/1/2026,Y
