sample_id,ahupuaa,moku,mokupuni
M1,Waikapū,Pūʻali Komohana,Maui
M10,Waikapū,Pūʻali Komohana,Maui
M100,Wailuku,Pūʻali Komohana,Maui
M101,Honokōwai,Kāʻanapali,Maui
M102,Honokōwai,Kāʻanapali,Maui
M103,ʻAlaeloa,Kāʻanapali,Maui
M104,Honokōwai,Kāʻanapali,Maui
M105,Honokōwai,Kāʻanapali,Maui
M106,Hanakaʻōʻō,Lāhainā,Maui
M107,Honolua,Kāʻanapali,Maui
M108,Honolua,Kāʻanapali,Maui
M109,Honokahua,Kāʻanapali,Maui
M11,Ukumehame,Lāhainā,Maui
M110,Honokōwai,Kāʻanapali,Maui
M111,Hanakaʻōʻō,Lāhainā,Maui
M112,Paunau,Lāhainā,Maui
M113,Hanakaʻōʻō,Lāhainā,Maui
M114,Hanakaʻōʻō,Lāhainā,Maui
M115,Wahikuli,Lāhainā,Maui
M119,Hanakaʻōʻō,Lāhainā,Maui
M120,Wailuku,Pūʻali Komohana,Maui
M121,Paunau,Lāhainā,Maui
M122,Hanakaʻōʻō,Lāhainā,Maui
M123,Hanakaʻōʻō,Lāhainā,Maui
M125,Wahikuli,Lāhainā,Maui
M126,Hanakaʻōʻō,Lāhainā,Maui
M127,Hanakaʻōʻō,Lāhainā,Maui
M128,Hanakaʻōʻō,Lāhainā,Maui
M13,Waikapū,Pūʻali Komohana,Maui
M130,Wahikuli,Lāhainā,Maui
M135,Pūlehunui,Kula,Maui
M136,Palauea,Honuaʻula,Maui
M141,Paeahu,Kula,Maui
M142,Kalihi,Honuaʻula,Maui
M143,Kalihi,Honuaʻula,Maui
M147,Wailuku,Pūʻali Komohana,Maui
M148,Kalihi,Honuaʻula,Maui
M15,Hāmākuapoko,Hāmākuapoko,Maui
M150,Paunau,Lāhainā,Maui
M151,Paunau,Lāhainā,Maui
M153,Ukumehame,Lāhainā,Maui
M154,Wailuku,Pūʻali Komohana,Maui
M155,Wailuku,Pūʻali Komohana,Maui
M16,Waikapū,Pūʻali Komohana,Maui
M162,Olowalu,Lāhainā,Maui
M164,Pūlehunui,Kula,Maui
M167,‘Ualapu‘e,Kona,Molokaʻi
M169,Waialua,Kona,Molokaʻi
M171,Makakupa‘ia,Kona,Molokaʻi
M172,Ukumehame,Lāhainā,Maui
M176,Ukumehame,Lāhainā,Maui
M177,Ukumehame,Lāhainā,Maui
M178,Olowalu,Lāhainā,Maui
M179,Olowalu,Lāhainā,Maui
M18,Ukumehame,Lāhainā,Maui
M180,Olowalu,Lāhainā,Maui
M181,Palauea,Honuaʻula,Maui
M182,Honokahua,Kāʻanapali,Maui
M183,Palauea,Honuaʻula,Maui
M184,Hanakaʻōʻō,Lāhainā,Maui
M185,Haʻikū,Hāmākualoa,Maui
M186,Kamaʻole,Kula,Maui
M189,Pūlehunui,Kula,Maui
M19,Hāmākuapoko,Hāmākuapoko,Maui
M190,Kamaʻole,Kula,Maui
M191,Papaʻanui,Honuaʻula,Maui
M192,Hanakaʻōʻō,Lāhainā,Maui
M193,Papaʻanui,Honuaʻula,Maui
M194,Honokahua,Kāʻanapali,Maui
M195,Nāpili 2-3,Kāʻanapali,Maui
M196,Nāpili 2-3,Kāʻanapali,Maui
M199,Kamaʻole,Kula,Maui
M201,Papaʻanui,Honuaʻula,Maui
M202,Hāmākuapoko,Hāmākuapoko,Maui
M203,Hanakaʻōʻō,Lāhainā,Maui
M205,East Kaupakulua,Hāmākualoa,Maui
M207,Kawela,Kona,Molokaʻi
M208,Kaluako‘i,Kona,Molokaʻi
M211,Honoulimaloʻo,Kona,Molokaʻi
M212,Kaluako‘i,Kona,Molokaʻi
M213,Kaluako‘i,Kona,Molokaʻi
M214,Kaluako‘i,Kona,Molokaʻi
M216,Kaluako‘i,Kona,Molokaʻi
M217,Kaluako‘i,Kona,Molokaʻi
M218,Kaluako‘i,Kona,Molokaʻi
M219,Kaluako‘i,Kona,Molokaʻi
M22,Ukumehame,Lāhainā,Maui
M220,Kaluako‘i,Kona,Molokaʻi
M222,Kumimi,Kona,Molokaʻi
M223,Pālāʻau,Kona,Molokaʻi
M224,Kalua‘aha,Kona,Molokaʻi
M225,Kaluako‘i,Kona,Molokaʻi
M226,Kaluako‘i,Kona,Molokaʻi
