sample_id,fetch_mean_km,fetch_min_km,fetch_N_km,fetch_NE_km,fetch_E_km,fetch_SE_km,fetch_S_km,fetch_SW_km,fetch_W_km,fetch_NW_km
M1,14.564857827522593,0.1256043545798752,11.31429308214318,24.137652364301506,50.18543810821662,0.567817816841189,0.1454557808204554,0.1256043545798752,0.22808501321147195,29.814516100066438
M10,15.63321173631697,0.11175686519546434,14.043073384509887,22.206783058132476,51.4406980331823,0.18961837591565803,0.11175686519546434,0.13548984309600706,9.725118567165337,27.21315576333862
M100,125.56905790743754,0.408027994095115,300,300,0.408027994095115,44.05917019705767,34.66309710193705,19.26049877224964,6.161669194160845,300
M101,49.82539079920212,0.12559478753292933,0.12559478753292933,14.442049908319703,19.535248756155255,25.01679586921863,2.9177640411322936,17.19339953703063,300,19.37227349422752
M102,49.86750007056186,0.46000427642790603,0.46000427642790603,13.850005592494128,19.20508356465632,25.46876593673519,3.4752308216653764,17.513501798286075,300,18.96740857422991
M103,91.24880809187353,4.396859809901762,300,4.396859809901762,15.243702596171643,60.02697052305965,13.203104690802284,21.872239494675533,300,15.247587620377306
M104,49.959859412513126,0.6574079497172497,0.6574079497172497,15.109895657432848,20.32510902341758,24.519522330153634,2.494992240557447,16.956840394504997,300,19.615107704321264
M105,86.86144931438841,0.2398069554641843,300,13.55829008028167,19.19988938262104,25.625755124095058,0.2398069554641843,17.632537189461956,300,18.63531578318338
M106,52.26497088798801,1.387265312907286,1.387265312907286,16.37867885385219,21.53320239263296,19.207376244242393,300,15.927457070164861,22.419179606155375,21.266607623948975
M107,49.70865179166908,0.1377034293308638,1.295615618226584,1.5956197339329432,7.446935353154665,61.52428790271825,20.236548085771968,5.432504210217321,300,0.1377034293308638
M108,11.929994890945276,0.14380424566799774,0.14380424566799774,0.2403532450631821,8.969324206891935,61.4836795654637,19.66406571417209,4.406091963307638,0.35639001584867946,0.17625017114698244
M109,11.743442059929862,0.12145140142878107,0.18293417043425142,1.1199525932654022,10.026698643202428,61.08487026980297,18.086206487358083,3.1635537284060433,0.16186918554094154,0.12145140142878107
M11,51.126511125594995,0.10418432679620739,24.529663497523405,15.685428290312654,8.573989597667358,0.10418432679620739,21.77366840155516,300,23.451963505419904,14.893191385485267
M113,7.428704305047256,0.11687341976934112,0.8823049472882413,15.99733190514165,21.191461925573414,20.333219711279927,0.577817873341497,0.16314733205004656,0.11687341976934112,0.1674773259339309
M114,7.961536606270735,0.1989448145593867,4.794994578917045,17.056886060095405,21.50942036813579,18.45095424409641,0.3194827316282317,0.1989448145593867,0.25135022240073884,1.1102598303328701
M115,51.15564230963351,1.9882962528457866,7.3279984858585525,18.239918790269908,21.65833242650563,15.946924571026637,1.9882962528457866,300,19.94492944542179,24.138738505139735
M120,127.55075254802722,0.3547786882102955,300,300,19.443632643950057,42.95720914208916,36.548826855089516,21.1015730548787,0.3547786882102955,300
M121,58.31605126323973,0.4164003230347298,0.4164003230347298,19.372564064992492,53.3091782082899,11.230205195533706,37.98240449342085,300,17.90624650312029,26.31141131752585
M122,17.60955906965684,0.4355774713900878,2.6908138724630697,16.65864952204691,21.706662532182992,18.740362262634246,42.37899364451924,16.393422706193867,21.871990545824286,0.4355774713900878
M123,7.649501652833364,0.2098967450527707,0.6600627055675723,15.70635072833744,20.996489157227334,22.002321854660448,1.0271125421654432,0.29300155697414854,0.2098967450527707,0.3007779326817541
