site_name,latitude,longitude,island,data_type,priority
Kihei Canoe Club,20.781403,-156.463176,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Sugar Beach,20.784204,-156.466463,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Maalaea Harbor,20.790305,-156.510825,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Papalaua Pali,20.792747,-156.567326,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Papalaua,20.793809,-156.575211,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Ukumehame Beach,20.79448,-156.58142,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Maalaea Condos,20.794917,-156.506735,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kealia Pond,20.794936,-156.485587,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Haycraft Park,20.796414,-156.503198,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Peter Martin Hale,20.808444,-156.619697,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Mile Marker 14,20.80915,-156.60661,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Olowalu Shore Front,20.80916,-156.62289,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Camp Olowalu,20.80986,-156.61369,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Launiupoko,20.84236,-156.653035,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Makila Point,20.859233,-156.669442,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Lahaina Town,20.86356,-156.67297,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Lindsey Hale,20.86485,-156.67374,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
505 Front Street,20.86732,-156.67605,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Lahaina Harbor,20.871933,-156.678624,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Papalaua St,20.876911,-156.681359,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Mala Ramp,20.885373,-156.686429,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Mala Tavern,20.887449,-156.685048,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Wahikuli,20.904476,-156.685931,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Canoe Beach,20.910347,-156.689382,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Airport Beach,20.936669,-156.69278,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kahekili Two,20.941269,-156.692439,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kaanapali Shores,20.949331,-156.691124,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Pohaku,20.967083,-156.68139,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kahana Village,20.976561,-156.678,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Ka'opala,20.982074,-156.673398,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Napili,20.994222,-156.667417,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kapalua Bay (Fleming S),20.998924,-156.666746,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Oneloa,21.004056,-156.65894,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
DT Beach (Fleming N),21.005,-156.65084,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Mokuleia,21.011352,-156.64227,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Honolua,21.013058,-156.63834,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
M142,20.59944444,-156.4205556,Maui,Community science site (March exposure),HIGH — survey first
OA110,20.64638889,-156.4430556,Maui,Community science site (March exposure),HIGH — survey first
OA58,20.64805556,-156.4425,Maui,Community science site (March exposure),HIGH — survey first
OA38,20.692628,-156.444085,Maui,Community science site (March exposure),HIGH — survey first
OA28,20.71153583,-156.4461158,Maui,Community science site (March exposure),HIGH — survey first
OA54,20.72833333,-156.4502778,Maui,Community science site (March exposure),HIGH — survey first
M34,20.72861111,-156.4508333,Maui,Community science site (March exposure),HIGH — survey first
OA140,20.76156,-156.45988,Maui,Community science site (March exposure),HIGH — survey first
M27,20.76444444,-156.4594444,Maui,Community science site (March exposure),HIGH — survey first
OA139,20.77397,-156.46053,Maui,Community science site (March exposure),HIGH — survey first
MA1,20.848969,-156.657038,Maui,Community science site (March exposure),HIGH — survey first
OA73,20.89166667,-156.4716667,Maui,Community science site (March exposure),HIGH — survey first
OA71,20.89222222,-156.4752778,Maui,Community science site (March exposure),HIGH — survey first
OA234,20.89361111,-156.4772222,Maui,Community science site (March exposure),HIGH — survey first
OA230,20.89638889,-156.4780556,Maui,Community science site (March exposure),HIGH — survey first
M115,20.89722222,-156.685,Maui,Community science site (March exposure),HIGH — survey first
M155,20.9016136,-156.4372487,Maui,Community science site (March exposure),HIGH — survey first
M86,20.90611111,-156.4311111,Maui,Community science site (March exposure),HIGH — survey first
M100,20.90944444,-156.42611110000001,Maui,Community science site (March exposure),HIGH — survey first
M87,20.96888889,-156.6802778,Maui,Community science site (March exposure),HIGH — survey first
