site_name,latitude,longitude,island,data_type,priority
Ahihi South,20.6138,-156.436853,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Ahihi North,20.618366,-156.437572,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Makena Beach Shoreline,20.63061,-156.446183,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Oneuli,20.639866,-156.447406,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Maluaka Beach,20.645598,-156.443859,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Makena Landing,20.653913,-156.441174,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Poolenalena (Chang's Beach),20.66339,-156.441968,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Palauea,20.669565,-156.442907,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Wailea Beach,20.68156,-156.443524,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Ulua Beach,20.69112,-156.444201,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Keawekapu Beach,20.695939,-156.444632,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kilohana Dr,20.702214,-156.445921,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kamaole Beach III,20.712908,-156.446596,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kamaole Beach I,20.721985,-156.448183,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Cove Park,20.727434,-156.450077,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kalama Park,20.730973,-156.45372,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kihei South (Lipoa),20.747334,-156.457881,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Waipuilani Park,20.755056,-156.459602,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Kalepolepo North,20.765132,-156.459344,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
Mai Poina 'Oe Ia'u,20.774894,-156.460776,Maui,Hui fixed station (10-yr baseline),CRITICAL — bleaching will be detectable vs baseline
