year,month,chirps_mm,ym
2016,1,20.210768900811672,2016-01-01
2016,2,15.707664299756289,2016-02-01
2016,3,45.770647659897804,2016-03-01
2016,4,40.81441060081124,2016-04-01
2016,5,99.67712767422199,2016-05-01
2016,6,38.89511642232537,2016-06-01
2016,7,57.047929123044014,2016-07-01
2016,8,61.15729220956564,2016-08-01
2016,9,92.62841065227985,2016-09-01
2016,10,33.29620435833931,2016-10-01
2016,11,26.49080553278327,2016-11-01
2016,12,163.6404793858528,2016-12-01
2017,1,24.339896321296692,2017-01-01
2017,2,68.84858784079552,2017-02-01
2017,3,127.07772541046143,2017-03-01
2017,4,130.7116877734661,2017-04-01
2017,5,35.87514276057482,2017-05-01
2017,6,52.34083145111799,2017-06-01
2017,7,24.148043390363455,2017-07-01
2017,8,24.07015718705952,2017-08-01
2017,9,26.334257949143648,2017-09-01
2017,10,82.05952939391136,2017-10-01
2017,11,56.22724171727896,2017-11-01
2017,12,126.60254842042923,2017-12-01
2018,1,60.09612528979778,2018-01-01
2018,2,174.01882141828537,2018-02-01
2018,3,91.13091561198235,2018-03-01
2018,4,176.470227971673,2018-04-01
2018,5,39.25217313319445,2018-05-01
2018,6,20.588222021237016,2018-06-01
2018,7,30.029352266341448,2018-07-01
2018,8,90.63815050572157,2018-08-01
2018,9,53.452504839748144,2018-09-01
2018,10,84.0325940400362,2018-10-01
2018,11,30.89924506098032,2018-11-01
2018,12,24.917327497154474,2018-12-01
2019,1,45.132848881185055,2019-01-01
2019,2,61.28911565244198,2019-02-01
2019,3,37.70667036622763,2019-03-01
2019,4,47.38132902979851,2019-04-01
2019,5,53.07563779503107,2019-05-01
2019,6,28.961800264194608,2019-06-01
2019,7,30.20920372195542,2019-07-01
2019,8,41.33502846583724,2019-08-01
2019,9,44.63659289851785,2019-09-01
2019,10,20.077814646065235,2019-10-01
2019,11,25.270195884630084,2019-11-01
2019,12,68.84405472874641,2019-12-01
2020,1,64.42775268107653,2020-01-01
2020,2,59.18746326863766,2020-02-01
2020,3,146.34271359443665,2020-03-01
2020,4,104.12768273055553,2020-04-01
2020,5,37.1899556145072,2020-05-01
2020,6,20.103373968973756,2020-06-01
2020,7,57.558250818401575,2020-07-01
2020,8,16.495597077533603,2020-08-01
2020,9,25.544549256563187,2020-09-01
2020,10,39.485831558704376,2020-10-01
2020,11,42.318969167768955,2020-11-01
2020,12,27.15675390511751,2020-12-01
2021,1,76.03375899791718,2021-01-01
2021,2,50.45230112224817,2021-02-01
2021,3,164.75346612930298,2021-03-01
2021,4,38.37763597816229,2021-04-01
2021,5,38.59319473430514,2021-05-01
2021,6,14.189023591578007,2021-06-01
2021,7,22.358314289711416,2021-07-01
2021,8,31.760517673566937,2021-08-01
2021,9,33.56400293111801,2021-09-01
2021,10,13.13476119749248,2021-10-01
2021,11,25.837718077003956,2021-11-01
2021,12,277.1896918416023,2021-12-01
2022,1,26.5672637373209,2022-01-01
2022,2,27.240429110825062,2022-02-01
2022,3,22.655346401035786,2022-03-01
2022,4,40.97401523590088,2022-04-01
2022,5,65.98572538793087,2022-05-01
2022,6,26.74297264032066,2022-06-01
2022,7,15.602691068314016,2022-07-01
2022,8,56.77844234742224,2022-08-01
2022,9,27.9158287178725,2022-09-01
2022,10,36.599011570215225,2022-10-01
2022,11,49.9914375692606,2022-11-01
2022,12,97.10340091586113,2022-12-01
2023,1,130.51674692332745,2023-01-01
2023,2,40.435654029250145,2023-02-01
2023,3,105.40714582800865,2023-03-01
2023,4,95.66866165399551,2023-04-01
2023,5,26.301243841648102,2023-05-01
2023,6,23.12597875855863,2023-06-01
2023,7,27.976929994300008,2023-07-01
2023,8,18.514788826927543,2023-08-01
2023,9,20.26297407783568,2023-09-01
2023,10,17.469424806535244,2023-10-01
2023,11,45.12312726676464,2023-11-01
2023,12,30.379577077925205,2023-12-01
2024,1,95.18159072101116,2024-01-01
2024,2,21.670648276805878,2024-02-01
2024,3,51.82372239232063,2024-03-01
2024,4,41.82979432865977,2024-04-01
2024,5,56.26707735657692,2024-05-01
2024,6,14.847237311303616,2024-06-01
2024,7,21.936504812911153,2024-07-01
2024,8,39.999909434467554,2024-08-01
2024,9,27.817164693027735,2024-09-01
2024,10,40.432946644723415,2024-10-01
2024,11,28.842326279729605,2024-11-01
2024,12,16.89150880649686,2024-12-01
2025,1,109.92311105132103,2025-01-01
2025,2,13.61892524920404,2025-02-01
2025,3,25.603656850755215,2025-03-01
2025,4,107.85074542462826,2025-04-01
2025,5,21.941194400191307,2025-05-01
2025,6,16.75651823170483,2025-06-01
2025,7,22.301982758566737,2025-07-01
2025,8,16.025495501235127,2025-08-01
2025,9,29.193652106449008,2025-09-01
2025,10,28.545266546308994,2025-10-01
2025,11,45.873312164098024,2025-11-01
2025,12,24.33402318507433,2025-12-01
2026,1,56.454821325838566,2026-01-01
2026,2,103.0323518961668,2026-02-01
2026,3,372.98402512073517,2026-03-01
2026,4,82.69890804588795,2026-04-01
2026,5,36.367567624896765,2026-05-01
2026,6,23.040548160672188,2026-06-01
2026,7,41.16943049803376,2026-07-01
