ahupuaa,moku,mokupuni,mean_ksat_um_s
Punaluʻu,Koʻolauloa,Oʻahu,5.64999997615814
Keawaʻula,Waiʻanae,Oʻahu,4.60999999940395
Kahana,Koʻolauloa,Oʻahu,5.64999997615814
Keonekūʻino,Kona,Molokaʻi,3.14666666587194
Nihoa,Kona,Molokaʻi,0.219999998807907
Pālāʻau,Kona,Molokaʻi,5.75
Makaua 2,Koʻolauloa,Oʻahu,4.75
Makaua 1,Koʻolauloa,Oʻahu,4.75
Kaʻaʻawa,Koʻolauloa,Oʻahu,4.60999999940395
Kamalō,Kona,Molokaʻi,0.219999998807907
Kahanui,Kona,Molokaʻi,23
‘Aha‘ino 1,Kona,Molokaʻi,18.7399999996026
‘Aha‘ino 2,Kona,Molokaʻi,18.7399999996026
Pūʻelelū,Kona,Molokaʻi,18.7399999996026
Pūniuʻōhua 2,Kona,Molokaʻi,NA
Pūniuʻōhua 1,Kona,Molokaʻi,NA
Hoʻolehua,Kona,Molokaʻi,23
Nāʻiwa,Kona,Molokaʻi,54.3333333333333
Hālawa,Koʻolau,Molokaʻi,18.7399999996026
Nāʻiwa,Kona,Molokaʻi,13.75
Kapulei,Kona,Molokaʻi,0.219999998807907
Hoʻolehua,Kona,Molokaʻi,5.75
Keōpukaʻuʻuku,Kona,Molokaʻi,13.75
Kaiamiki,Koʻolau,Molokaʻi,9
Mākolelau,Kona,Molokaʻi,3.14666666587194
Kïauea,Kona,Molokaʻi,0.219999998807907
Kaluako‘i,Kona,Molokaʻi,13.4
‘Ïloli,Kona,Molokaʻi,23
Makanalua,Koʻolau,Molokaʻi,18.7399999996026
Kalawao,Koʻolau,Molokaʻi,0.219999998807907
Kamanoni,Kona,Molokaʻi,7.52499997615814
Kalaupapa,Koʻolau,Molokaʻi,9
Kīpū,Kona,Molokaʻi,4.21999998092651
Kahanui,Kona,Molokaʻi,9.63466667865092
‘Ïloli,Kona,Molokaʻi,NA
Puaʻahala,Kona,Molokaʻi,7.52499997615814
Kahanui,Kona,Molokaʻi,NA
Moakea,Kona,Molokaʻi,NA
Nāʻiwa,Kona,Molokaʻi,5.75
Pōhakupili,Kona,Molokaʻi,NA
Waikolu,Koʻolau,Molokaʻi,18.7399999996026
Pelekunu,Koʻolau,Molokaʻi,18.7399999996026
Wailau,Koʻolau,Molokaʻi,18.7399999996026
Ka‘ili‘ula,Kona,Molokaʻi,18.7399999996026
Keōpukaloa,Kona,Molokaʻi,18.7399999996026
Wawaeolepe,Koʻolau,Molokaʻi,18.7399999996026
