ahupuaa,moku,mokupuni,mean_ksat_um_s
Kainalu,Kona,Molokaʻi,18.7399999996026
Honoulimaloʻo,Kona,Molokaʻi,NA
Honomuni,Kona,Molokaʻi,18.7399999996026
Kumimi,Kona,Molokaʻi,NA
Kapuaoko‘olau,Kona,Molokaʻi,3.14666666587194
Lūpehu,Kona,Molokaʻi,9.63466667865092
Honouliwai,Kona,Molokaʻi,18.7399999996026
Moanui,Kona,Molokaʻi,18.7399999996026
Waialua,Kona,Molokaʻi,18.7399999996026
Pūkoʻo 2,Kona,Molokaʻi,6.43999996185303
Mapulehu,Kona,Molokaʻi,18.7399999996026
Puna‘ula,Kona,Molokaʻi,18.7399999996026
Pūkoʻo 1,Kona,Molokaʻi,18.7399999996026
Kūpeke,Kona,Molokaʻi,18.7399999996026
Kalamaʻula,Kona,Molokaʻi,5.75
Kamiloloa (Government),Kona,Molokaʻi,NA
Kaunakakai,Kona,Molokaʻi,0.219999998807907
Kawela,Kona,Molokaʻi,0.219999998807907
Pāhoa,Lāhainā,Maui,6.07333333293597
Kapa‘akea,Kona,Molokaʻi,19.2033333331347
Makakupa‘ia,Kona,Molokaʻi,NA
Kamiloloa,Kona,Molokaʻi,4.60999999940395
Makakupa‘ia,Kona,Molokaʻi,19.2033333331347
Waialeʻe,Koʻolauloa,Oʻahu,5.64999997615814
Kalua‘aha,Kona,Molokaʻi,18.7399999996026
East ʻŌhiʻa,Kona,Molokaʻi,18.7399999996026
Manawai,Kona,Molokaʻi,18.7399999996026
‘Ualapu‘e,Kona,Molokaʻi,7.52499997615814
Kahananui,Kona,Molokaʻi,18.7399999996026
West ʻŌhiʻa,Kona,Molokaʻi,14.4880002439022
Keawanui,Kona,Molokaʻi,7.52499997615814
Kaʻamola,Kona,Molokaʻi,2.49999997615814
Kīloa,Koʻolau,Molokaʻi,18.7399999996026
Pālāʻau,Kona,Molokaʻi,13.75
Pālāʻau,Kona,Molokaʻi,23
Punalau,Koʻolauloa,Oʻahu,92
Kahuku,Koʻolauloa,Oʻahu,15
Hanakaʻoe,Koʻolauloa,Oʻahu,5.64999997615814
ʻŌiʻo 2,Koʻolauloa,Oʻahu,3.83999998370806
ʻŌiʻo 1,Koʻolauloa,Oʻahu,3.83999998370806
Kawela,Koʻolauloa,Oʻahu,3.83999998370806
Pahipahiʻālua,Koʻolauloa,Oʻahu,3.83999998370806
ʻŌpana 1,Koʻolauloa,Oʻahu,4.60999999940395
ʻŌpana 2,Koʻolauloa,Oʻahu,4.60999999940395
Keana,Koʻolauloa,Oʻahu,3.83999998370806
Paumalū,Koʻolauloa,Oʻahu,10.073333332936
Malaekahana,Koʻolauloa,Oʻahu,10.073333332936
Kaunala,Koʻolauloa,Oʻahu,10.073333332936
Kuikuiloloa,Waialua,Oʻahu,12.6499999761581
Pūpūkea,Koʻolauloa,Oʻahu,25.5
Mākao,Koʻolauloa,Oʻahu,4.75
Kapaka,Koʻolauloa,Oʻahu,54.3333333333333
Lāʻiewai,Koʻolauloa,Oʻahu,15
Papaʻakoko,Koʻolauloa,Oʻahu,201.32499998807901
Lāʻiemaloʻo,Koʻolauloa,Oʻahu,15
Waimea,Koʻolauloa,Oʻahu,18.7399999996026
Kapaeloa,Waialua,Oʻahu,25.5
Punanue,Waialua,Oʻahu,12.6499999761581
Kaipapaʻu,Koʻolauloa,Oʻahu,15
Hauʻula,Koʻolauloa,Oʻahu,15
Lauhulu,Waialua,Oʻahu,15.4300003051758
Kawailoa,Waialua,Oʻahu,18.7399999996026
Haleʻaha,Koʻolauloa,Oʻahu,0.79999998708566
Kaluanui,Koʻolauloa,Oʻahu,4.60999999940395
Paʻalaʻa,Waialua,Oʻahu,25.5
Kapano,Koʻolauloa,Oʻahu,4.75
Kamananui,Waialua,Oʻahu,8.08500003814697
Mokulēʻia 1,Waialua,Oʻahu,5.64999997615814
Puheʻemiki,Koʻolauloa,Oʻahu,50.5
Waiʻono,Koʻolauloa,Oʻahu,15
Mokulēʻia 2,Waialua,Oʻahu,5.64999997615814
Kawaihāpai,Waialua,Oʻahu,5.64999997615814
Keālia,Waialua,Oʻahu,9.30499999970198
Kaʻena,Waialua,Oʻahu,9.30499999970198
Kikahi,Waialua,Oʻahu,5.64999997615814
Aukuʻu,Waialua,Oʻahu,28
Kahanahāiki,Waiʻanae,Oʻahu,9
Kualoa 2,Koʻolaupoko,Oʻahu,4.75
Mākua,Waiʻanae,Oʻahu,25.5
Kualoa 1,Koʻolaupoko,Oʻahu,4.75
Heʻeia,Koʻolaupoko,Oʻahu,8
Hakipuʻu,Koʻolaupoko,Oʻahu,12.6499999761581
Waiʻanae,Waiʻanae,Oʻahu,4.60999999940395
ʻAiea,ʻEwa,Oʻahu,3.84999999403954
Moanalua,Kona,Oʻahu,3.84999999403954
ʻŌhikilolo,Waiʻanae,Oʻahu,4.60999999940395
Mākaha,Waiʻanae,Oʻahu,43
Waikele,ʻEwa,Oʻahu,8.08500003814697
Honouliuli,ʻEwa,Oʻahu,46.5
Waikane,Koʻolaupoko,Oʻahu,5.64999997615814
Keaʻau,Waiʻanae,Oʻahu,9
Waipiʻo,ʻEwa,Oʻahu,25.5
Hālawa,ʻEwa,Oʻahu,8
Waiāhole,Koʻolaupoko,Oʻahu,5.64999997615814
Kaʻalaea,Koʻolaupoko,Oʻahu,7.66666666666667
Kapālama,Kona,Oʻahu,1.23333330949148
Waiawa,ʻEwa,Oʻahu,4.60999999940395
Waikīkī,Kona,Oʻahu,4.60999999940395
Honouliuli,ʻEwa,Oʻahu,NA
Honouliuli,ʻEwa,Oʻahu,NA
Kahaluʻu,Koʻolaupoko,Oʻahu,12.6499999761581
Waiheʻe,Koʻolaupoko,Oʻahu,5.64999997615814
Kāneʻohe,Koʻolaupoko,Oʻahu,7.52499997615814
Waimano,ʻEwa,Oʻahu,18.7399999996026
Mānana,ʻEwa,Oʻahu,25.5
Hōʻaeʻae,ʻEwa,Oʻahu,13.4
Heʻeia,Koʻolaupoko,Oʻahu,5.64999997615814
Waiau,ʻEwa,Oʻahu,25.5
Waimalu,ʻEwa,Oʻahu,4.60999999940395
Kalauao,ʻEwa,Oʻahu,18.7399999996026
Kailua,Koʻolaupoko,Oʻahu,7.47499996423721
Kāneʻohe,Koʻolaupoko,Oʻahu,8
Hālawa,ʻEwa,Oʻahu,NA
Nānākuli,Waiʻanae,Oʻahu,9
Kalihi,Kona,Oʻahu,4.60999999940395
Kahauiki,Kona,Oʻahu,46.5
Kamao,Lāhainā,Lānaʻi,4.60999999940395
Honolulu,Kona,Oʻahu,4.60999999940395
N/A,ʻEwa,Oʻahu,10
N/A,ʻEwa,Oʻahu,NA
N/A,ʻEwa,Oʻahu,NA
N/A,ʻEwa,Oʻahu,10
Waipiʻo,ʻEwa,Oʻahu,6.07333333293597
Keāliaaupuni,Lāhainā,Lānaʻi,9
Maunalei,Lāhainā,Lānaʻi,13.4
Keāliakapu,Lāhainā,Lānaʻi,5.75
Kaohai,Lāhainā,Lānaʻi,0.219999998807907
Kamoku,Lāhainā,Lānaʻi,5.75
Paʻawili,Lāhainā,Lānaʻi,6.07333333293597
Pālāwai,Lāhainā,Lānaʻi,18.7399999996026
Kaunolū,Lāhainā,Lānaʻi,1.18666665256023
Kalulu,Lāhainā,Lānaʻi,4.64999997615814
Mahana,Lāhainā,Lānaʻi,13.4
Kaʻā,Lāhainā,Lānaʻi,22.4439999997616
Paomai,Lāhainā,Lānaʻi,13.4
West Kaupakulua,Hāmākualoa,Maui,9.19999996821086
Peahi,Hāmākualoa,Maui,6.07333333293597
Polaiki,Lāhainā,Maui,28
Moʻomoku,Kāʻanapali,Maui,7.47499996423721
Halehaku,Hāmākualoa,Maui,6.07333333293597
Waineʻe,Lāhainā,Maui,28
Keʻanae,Koʻolau,Maui,41.4599999998297
Koʻokā,Lāhainā,Maui,28
Waikapū,Pūʻali Komohana,Maui,28
Olowalu,Lāhainā,Maui,0.219999998807907
Makawao,Hāmākuapoko,Maui,11.4333333174388
Honokōhau,Kāʻanapali,Maui,18.7399999996026
Honolua,Kāʻanapali,Maui,18.7399999996026
Kahakuloa,Kāʻanapali,Maui,18.7399999996026
Honokahua,Kāʻanapali,Maui,18.7399999996026
Mokupapa,Hāmākualoa,Maui,8.66666664679845
Kahua,Lāhainā,Maui,3.84999999403954
Kapunakea,Lāhainā,Maui,7.52499997615814
Nāpili 2-3,Kāʻanapali,Maui,3.84999999403954
Nāpili 4-5,Kāʻanapali,Maui,7.47499996423721
Nāpili 1,Kāʻanapali,Maui,6.07333333293597
Kuhua,Lāhainā,Maui,12.3333333333333
Honokeana,Kāʻanapali,Maui,7.47499996423721
Pūʻou,Lāhainā,Maui,6.07333333293597
Panaʻewa,Lāhainā,Maui,18.7399999996026
East Makaīwa,Koʻolau,Maui,23.1571428562914
West Kaupakulua,Hāmākualoa,Maui,8.66666664679845
ʻAlaeloa,Kāʻanapali,Maui,7.52499997615814
Mailepai,Kāʻanapali,Maui,7.52499997615814
Kahana,Kāʻanapali,Maui,3.84999999403954
Māhinahina 4,Kāʻanapali,Maui,6.07333333293597
Waiheʻe,Pūʻali Komohana,Maui,18.7399999996026
Honokōwai,Kāʻanapali,Maui,3.61666666716337
Paʻuwela,Hāmākualoa,Maui,9.19999996821086
ʻŌpana,Hāmākualoa,Maui,6.07333333293597
Keaaula,Hāmākualoa,Maui,8.66666664679845
Kuiaha,Hāmākualoa,Maui,9.19999996821086
Haʻikū,Hāmākualoa,Maui,6.07333333293597
Ulumalu,Hāmākualoa,Maui,8.66666664679845
East Kaupakulua,Hāmākualoa,Maui,6.07333333293597
Hāmākuapoko,Hāmākuapoko,Maui,6.76666665077209
Kealiʻiiki,Hāmākualoa,Maui,6.07333333293597
Hanakaʻōʻō,Lāhainā,Maui,13.4
Honopou,Hāmākualoa,Maui,23.1571428562914
Hāmākualoa,Hāmākualoa,Maui,6.07333333293597
Waiehu,Pūʻali Komohana,Maui,18.7399999996026
Wahikuli,Lāhainā,Maui,13.4
Hanehoi,Hāmākualoa,Maui,6.07333333293597
Moaliʻi,Lāhainā,Maui,9
Waipiʻoiki,Hāmākualoa,Maui,6.07333333293597
Waipiʻonui,Hāmākualoa,Maui,8.66666664679845
Wailuku,Pūʻali Komohana,Maui,92
Aki,Lāhainā,Maui,12.3333333333333
Hāhākea,Lāhainā,Maui,18.7399999996026
Pūehuehunui,Lāhainā,Maui,0.219999998807907
West Hanawana,Hāmākualoa,Maui,8.66666664679845
Pūehuehuiki,Lāhainā,Maui,28
Halakaʻa,Lāhainā,Maui,0.219999998807907
Grant 3584,Lāhainā,Maui,3.61666666716337
Hāliʻimaile,Hāmākuapoko,Maui,15
East Hanawana,Hāmākualoa,Maui,16
Puʻuki,Lāhainā,Maui,6.07333333293597
Puʻuomāile,Koʻolau,Maui,18.7399999996026
Pāpaʻaʻea,Koʻolau,Maui,16
West Makaīwa,Koʻolau,Maui,18.7399999996026
Paunau,Lāhainā,Maui,6.07333333293597
East Kaupakulua,Hāmākualoa,Maui,16
Kuholilea,Lāhainā,Maui,12.3333333333333
Kuʻia,Lāhainā,Maui,25.5
Kauaʻula,Lāhainā,Maui,18.7399999996026
Makaʻehu,Kula,Maui,15
Honomanü,Koʻolau,Maui,23.1571428562914
Mākila,Lāhainā,Maui,28
Launiupoko,Lāhainā,Maui,28
Halakaʻa,Lāhainā,Maui,28
Pūehuehunui,Lāhainā,Maui,24.25
Polanui,Lāhainā,Maui,24.25
Pāhoa,Lāhainā,Maui,24.25
Ukumehame,Lāhainā,Maui,23
Wailuanui,Koʻolau,Maui,18.7399999996026
Kalialinui,Kula,Maui,15
Haʻikū Uka,Hāmākualoa,Maui,93.5299999937415
Pūlehunui,Kula,Maui,10.8333333333333
Koʻolau,Koʻolau,Maui,41.4599999998297
Paʻakea,Koʻolau,Maui,18.7399999996026
ʻŌmaʻopio,Kula,Maui,10.8333333333333
Wailuaiki,Koʻolau,Maui,23
Aʻapueo,Kula,Maui,6.07333333293597
Haneoʻo,Hāna,Maui,131.766666650772
ʻAlaenui,Kīpahulu,Maui,41.4599999998297
ʻUlaʻino,Koʻolau,Maui,133.099999984105
Honokalani,Hāna,Maui,116.5
West Honomāʻele,Hāna,Maui,133.099999984105
Hāmoa,Hāna,Maui,98.8749999888241
Nuʻu,Kaupō,Maui,0.219999998807907
East Honomāʻele,Hāna,Maui,133.099999984105
Kawela,Hāna,Maui,116.5
Wākiu,Hāna,Maui,116.5
Kawaipapa,Hāna,Maui,41.4599999998297
ʻAlae 3-4,Kula,Maui,49
Kamehamenui,Kula,Maui,15
Pūlehuiki,Kula,Maui,49
Kamehameiki,Kula,Maui,49
Waiakoa,Kula,Maui,151.666666666667
ʻAlae 1-2,Kula,Maui,151.666666666667
Kaʻonoʻulu,Kula,Maui,151.666666666667
Waiohuli,Kula,Maui,151.666666666667
Kēōkea,Kula,Maui,116.5
Kōheo 1-2,Kula,Maui,151.666666666667
Papaʻanui,Honuaʻula,Maui,92
Paeahu,Kula,Maui,151.666666666667
Nakula,Kaupō,Maui,100
Kamaʻole,Kula,Maui,151.666666666667
Mokae,Hāna,Maui,133.099999984105
Kahikinui,Kahikinui,Maui,100
Naholoku,Kaupō,Maui,18.7399999996026
Kākiʻo,Hāna,Maui,133.099999984105
ʻAlaeiki,Kīpahulu,Maui,18.7399999996026
Mūʻolea,Hāna,Maui,23.6666666666667
Waiohonu,Hāna,Maui,23.6666666666667
Puʻuhaoa,Hāna,Maui,18.7399999996026
Wailua,Hāna,Maui,18.7399999996026
Kaʻāpahu,Kīpahulu,Maui,41.4599999998297
Kukuiʻula,Kīpahulu,Maui,18.7399999996026
Puaʻaluʻu,Hāna,Maui,23.6666666666667
Kukuiʻulaiki,Kīpahulu,Maui,18.7399999996026
Keauhou,Honuaʻula,Maui,32.6739999999603
Kīkoʻo,Kīpahulu,Maui,23.6666666666667
Kanaio,Honuaʻula,Maui,116.5
Palauea,Honuaʻula,Maui,32.6739999999603
Auwahi,Kahikinui,Maui,116.5
Papaʻanui,Honuaʻula,Maui,122.5
Papaʻanui,Honuaʻula,Maui,NA
Kaloʻi,Honuaʻula,Maui,141
Mohopilo,Honuaʻula,Maui,23
Kanahena,Honuaʻula,Maui,23
Kalihi,Honuaʻula,Maui,23
Kualapa,Honuaʻula,Maui,23
Papaka Uka,Honuaʻula,Maui,122.5
Papaka Kai,Honuaʻula,Maui,23
Ulupehupehu,Koʻolauloa,Oʻahu,0.79999998708566
Waimānalo,Koʻolaupoko,Oʻahu,4.75
Maunalua,Kona,Oʻahu,1.07333331306775
Kuliʻouʻou,Kona,Oʻahu,28
