objectid,uid,x,y,island,longitude,latitude
39,-159.66391_21.96353,-159.66391588000002,21.96353024,Kauai,-159.6639015645869,21.96352683825502
40,-159.69724_21.96193,-159.69724297000002,21.96193817,Kauai,-159.69722865443063,21.96193476549527
41,-159.72198_21.97147,-159.72198772000002,21.97147888,Kauai,-159.72197340314779,21.971475484769506
42,-159.67200_21.96375,-159.67200951,21.963754509999998,Kauai,-159.67199519300613,21.963751110651057
43,-159.72064_21.96993,-159.72064089999998,21.96993312,Kauai,-159.7206265859342,21.969929722670575
44,-159.72023_21.97163,-159.7202308,21.97163697,Kauai,-159.7202164795461,21.97163356864672
45,-159.71762_21.97403,-159.71762448,21.9740358,Kauai,-159.71761016543218,21.974032400298142
46,-159.72078_21.97293,-159.72078528,21.97293272,Kauai,-159.7207709671403,21.972929319820075
47,-159.71814_21.97122,-159.71814028,21.97122079,Kauai,-159.7181259654908,21.9712173890944
48,-159.72011_21.97304,-159.72011822,21.97304192,Kauai,-159.7201038989006,21.973038517889545
49,-159.71886_21.97352,-159.71886345,21.973528090000002,Kauai,-159.71884913029496,21.97352469539437
50,-159.71560_21.96853,-159.71560112999998,21.96853615,Kauai,-159.7155868140135,21.968532745329394
51,-159.70858_21.96273,-159.70858883999998,21.96273605,Kauai,-159.7085745225663,21.96273264567194
52,-159.70275_21.96432,-159.70275529,21.964324180000002,Kauai,-159.70274097602382,21.964320782044464
53,-159.70350_21.96543,-159.70350569,21.96543942,Kauai,-159.70349136780803,21.965436019328905
54,-159.70479_21.96613,-159.70479896,21.966139260000002,Kauai,-159.70478464452881,21.96613585781965
55,-159.70975_21.96523,-159.7097518,21.96523707,Kauai,-159.70973748149083,21.965233667230336
56,-159.70710_21.96424,-159.70710178,21.96424268,Kauai,-159.7070874613424,21.964239282808233
57,-159.70961_21.96591,-159.70961198999998,21.965916810000003,Kauai,-159.70959767153553,21.965913413779898
58,-159.71316_21.96750,-159.71316093,21.967509290000002,Kauai,-159.7131466097664,21.967505886860096
59,-159.71290_21.97114,-159.71290173,21.9711401,Kauai,-159.71288741062736,21.971136698410003
60,-159.70435_21.96105,-159.7043501,21.96105802,Kauai,-159.70433578436496,21.961054620956162
61,-159.70381_21.96284,-159.70381423,21.96284726,Kauai,-159.7037999150448,21.962843858113636
62,-159.70535_21.96318,-159.70535872,21.96318669,Kauai,-159.7053444040791,21.963183294221086
