cluster_label,island,log_cesspool_density,log_dist_cesspool,log_dist_stream_mouth,log_discharge_cfs,pct_impervious,pct_agriculture,mean_slope_deg,log_ksat,log_dist_outfall,mean_gwetroot,log_cattle_km2
Marine background,Maui,1.5847291059107151,6.9749465285224606,6.070291499967684,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,7.168987893548255,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,6.673677162615148,6.780809292839341,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,5.949607538430931,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.8034089325212008,4.446174454497633,8.132265205501833,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,5.588642494960321,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,6.850443912269023,7.822125553929072,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,3.700442671639888,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,6.106354512981937,7.619711939982412,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.36769722748958,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,2.9909724066044245,4.633757642840004,5.808113616498208,4.365438191188899,0.10499675571918488,0.0038044482935220003,6.99406623840332,2.1430030203728814,2.952556645794614,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,6.795482036499351,7.772400994526283,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.314580038370553,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.10829243445747551,5.337538079701318,7.518389848976493,3.5520985479029457,0.05048634484410286,0.06700956076383591,15.42068862915039,1.529672944072827,5.710193308478242,0.7621052631578947,4.0447999596148
Marine background,Maui,1.6511871814897232,5.645093478307522,6.439747872789981,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,6.0176542471282986,0.7621052631578947,4.0447999596148
Storm runoff,Maui,0.46887876756780467,6.8347543860976465,4.380528318037574,4.365438191188899,0.025437626987695694,5.033466368331574e-5,12.490714073181152,2.9826470339852036,3.5035518511424817,0.7621052631578947,4.0447999596148
Marine background,Maui,0.46887876756780467,6.134265345739653,6.119234178785501,4.365438191188899,0.025437626987695694,5.033466368331574e-5,12.490714073181152,2.9826470339852036,5.209992116563734,0.7621052631578947,4.0447999596148
Marine background,Maui,0.7000070940056472,4.356708826689592,4.105084215881992,4.365438191188899,0.046647630631923676,0.0025663371197879314,13.055168151855469,2.9826470339852036,6.233421672790625,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.14643867476456884,8.05623651480338,6.259960168700591,2.4050941787658666,0.00942244566977024,0.014937569882022217,19.59808349609375,3.1780538303479458,6.202816876388655,0.7621052631578947,4.0447999596148
Marine background,Maui,1.6511871814897232,5.552184090505087,6.953725594312354,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,4.128180807263708,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.6511871814897232,6.811684810231403,5.521167872385075,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,4.90316827564783,0.7621052631578947,4.0447999596148
Storm runoff,Maui,3.316557812571669,4.231203744939298,6.744900655360587,3.5520985479029457,0.06268250197172165,4.726367478724569e-6,9.090831756591797,2.667228206581955,6.729955405426764,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.8034089325212008,5.8664680569332965,6.646523670633727,6.306968477292998,0.13595305383205414,0.4264885485172272,8.111989974975586,4.532599493153256,6.813779530688875,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,0.5231184827379162,6.83979758579891,6.160160337777821,3.5520985479029457,0.16329514980316162,0.0015597434248775244,17.596988677978516,1.9563318444615498,5.411483231770108,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.6511871814897232,6.462873438510181,5.15735206245093,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,3.375105496673862,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.6511871814897232,4.911919321157098,7.194448841676766,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,4.459285601334369,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.6511871814897232,5.804833718725929,7.329135480752141,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,4.791951802935734,0.7621052631578947,4.0447999596148
Nearshore enriched,Maui,1.6511871814897232,6.772622604990641,4.823891959806424,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,4.669161690846441,0.7621052631578947,4.0447999596148
Storm runoff,Maui,1.6511871814897232,6.147399348728742,7.416205518106219,3.5520985479029457,0.09855561703443527,0.2578757703304291,6.2193121910095215,2.667228206581955,5.380704963272761,0.7621052631578947,4.0447999596148
Marine background,Maui,1.5847291059107151,6.1070228877422545,5.770174801416075,2.4050941787658666,0.036223169416189194,0.3485491070896387,11.473700523376465,3.367295829986474,6.458064142284159,0.7621052631578947,4.0447999596148
Storm runoff,Maui,3.316557812571669,5.807842144580979,7.10474459034752,3.5520985479029457,0.06268250197172165,4.726367478724569e-6,9.090831756591797,2.667228206581955,5.41289958560438,0.7621052631578947,4.0447999596148
Marine background,Maui,1.0759579267258734,5.84354441703136,5.269433329495468,2.4050941787658666,0.03128986805677414,0.5737554617226124,3.6888697147369385,2.470920407813258,5.4814419998066635,0.7621052631578947,4.0447999596148
