Group,Predictor,SiO2,NO3NO2,PO4,NH4
Terrestrial delivery,log(SiO₂),—,"0.77 [0.67, 0.88]*","0.40 [0.34, 0.46]*","0.26 [0.13, 0.39]*"
Hydrologic forcing,Storm rainfall,"0.44 [0.24, 0.63]*","0.61 [0.35, 0.88]*","0.23 [0.09, 0.37]*","0.16 [-0.04, 0.36]"
Watershed transport,log(Dist stream),"-0.30 [-0.44, -0.15]*","-0.01 [-0.14, 0.13]","-0.01 [-0.08, 0.06]","-0.02 [-0.17, 0.13]"
Watershed transport,Slope,"-0.11 [-0.31, 0.09]","0.02 [-0.15, 0.19]","-0.04 [-0.12, 0.04]","0.08 [-0.07, 0.23]"
Watershed transport,log(Ksat),"0.05 [-0.16, 0.26]","-0.03 [-0.21, 0.16]","0.04 [-0.05, 0.13]","0.03 [-0.14, 0.21]"
Anthropogenic,% agriculture,"-0.32 [-0.59, -0.05]*","0.46 [0.11, 0.81]*","0.03 [-0.14, 0.20]","-0.06 [-0.30, 0.19]"
Anthropogenic,% impervious,"-0.29 [-0.57, -0.01]*","-0.10 [-0.34, 0.14]","-0.12 [-0.24, -0.00]*","-0.21 [-0.43, 0.01]"
Anthropogenic,log(Cesspool exposure idx.),"0.15 [0.01, 0.29]*","0.14 [0.01, 0.26]*","0.07 [0.00, 0.14]*","0.03 [-0.10, 0.16]"
Anthropogenic,log(Dist NPDES),"-0.23 [-0.36, -0.10]*","-0.16 [-0.29, -0.03]*","-0.06 [-0.13, 0.01]","-0.14 [-0.29, 0.01]"
Coastal dilution,Wave fetch,"-0.23 [-0.34, -0.12]*","0.03 [-0.08, 0.13]","0.01 [-0.04, 0.07]","-0.08 [-0.20, 0.05]"
Coastal dilution,Wave height,"-0.35 [-0.54, -0.16]*","-0.10 [-0.27, 0.08]","-0.13 [-0.21, -0.04]*","-0.12 [-0.28, 0.04]"
Rainfall × Anthropogenic,Rainfall × Cesspool,—,"0.20 [0.07, 0.33]*","0.06 [-0.01, 0.13]","-0.01 [-0.14, 0.12]"
Rainfall × Anthropogenic,Rainfall × Agriculture,—,"0.66 [0.24, 1.08]*","-0.00 [-0.21, 0.21]","0.27 [-0.06, 0.61]"
